Csets,Region,CommName,* Fuel,* Enduse,CommDesc,* OLD CommDesc,Unit,LimType,CTSLvl,PeakTS,Ctype
*Commodity Set Membership,Region Name,Commodity Name,,,,Commodity Description,Unit,Sense of the Balance EQN.,Timeslice Level,Peak Monitoring,Electricity Indicator
NRG,,ELCCOA,Coal,Electricity Production,Coal -:- Electricity Production,Electricity Plants Bituminous & Sub-bitum.,PJ,,DAYNITE,,
NRG,,ELCCOL,Coal,Electricity Production,Coal -:- Electricity Production,Electricity Plants Lignite,PJ,,DAYNITE,,
NRG,,ELCOIL,Oil,Electricity Production,Oil -:- Electricity Production,Electricity Plants Oil,PJ,,DAYNITE,,
NRG,,ELCNGA,Natural Gas,Electricity Production,Natural Gas -:- Electricity Production,Electricity Plants Natural Gas,PJ,,DAYNITE,,
NRG,,ELCHYD,Hydro,Electricity Production,Hydro -:- Electricity Production,Electricity Plants Hydro,PJ,,DAYNITE,,
NRG,,ELCGEO,Geothermal,Electricity Production,Geothermal -:- Electricity Production,Electricity Plants Geothermal,PJ,,DAYNITE,,
NRG,,ELCSOL,Solar,Electricity Production,Solar -:- Electricity Production,Electricity Plants Solar,PJ,,DAYNITE,,
NRG,,ELCWIN,Wind,Electricity Production,Wind -:- Electricity Production,Electricity Plants Wind,PJ,,DAYNITE,,
NRG,,ELCBIL,Liquid Biofuels,Electricity Production,Liquid Biofuels -:- Electricity Production,Electricity Plants Liquid Biofuels,PJ,,DAYNITE,,
NRG,,ELCBIG,Biogas,Electricity Production,Biogas -:- Electricity Production,Electricity Plants Biogas,PJ,,DAYNITE,,
NRG,,ELCWOD,Wood,Electricity Production,Wood -:- Electricity Production,Electricity Plants Wood,PJ,,DAYNITE,,
NRG,,ELCTID,Tidal,Electricity Production,Tidal -:- Electricity Production,Electricity Plants Tidal,PJ,,DAYNITE,,
ENV,,BATNRG,Electricity,Electricity Production,Electricity -:- Electricity Production,Dummy Commodity for Batteries,PJ,N,DAYNITE,,
