CommodityGroup,Commodity,SectorGroup,Sector,EndUse
Demand,C_DATA-OTH,Commercial,Data Centre,Electronics and Other Electrical Uses
Demand,C_DATA-LT,Commercial,Data Centre,Lighting
Demand,C_DATA-SC,Commercial,Data Centre,Space Cooling
Demand,C_EDU-OTH,Commercial,Education,Electronics and Other Electrical Uses
Demand,C_EDU-LT,Commercial,Education,Lighting
Demand,C_EDU-SC,Commercial,Education,Space Cooling
Demand,C_EDU-SH,Commercial,Education,"Low Temperature Heat (<100 C), Space Heating"
Demand,C_EDU-WH,Commercial,Education,"Low Temperature Heat (<100 C), Water Heating"
Demand,C_EDU-RF,Commercial,Education,Refrigeration
Demand,C_EDU-MPS,Commercial,Education,"Motive Power, Stationary"
Demand,C_EDU-MPM,Commercial,Education,"Motive Power, Mobile"
Demand,C_HLTH-OTH,Commercial,Healthcare,Electronics and Other Electrical Uses
Demand,C_HLTH-LT,Commercial,Healthcare,Lighting
Demand,C_HLTH-SC,Commercial,Healthcare,Space Cooling
Demand,C_HLTH-SH,Commercial,Healthcare,"Low Temperature Heat (<100 C), Space Heating"
Demand,C_HLTH-WH,Commercial,Healthcare,"Low Temperature Heat (<100 C), Water Heating"
Demand,C_HLTH-RF,Commercial,Healthcare,Refrigeration
Demand,C_HLTH-PH,Commercial,Healthcare,"Intermediate Heat (100-300 C), Process Requirements"
Demand,C_HLTH-MPS,Commercial,Healthcare,"Motive Power, Stationary"
Demand,C_HLTH-MPM,Commercial,Healthcare,"Motive Power, Mobile"
Demand,C_OFFC-OTH,Commercial,Office Blocks,Electronics and Other Electrical Uses
Demand,C_OFFC-LT,Commercial,Office Blocks,Lighting
Demand,C_OFFC-SC,Commercial,Office Blocks,Space Cooling
Demand,C_OFFC-SH,Commercial,Office Blocks,"Low Temperature Heat (<100 C), Space Heating"
Demand,C_OFFC-WH,Commercial,Office Blocks,"Low Temperature Heat (<100 C), Water Heating"
Demand,C_OFFC-MPS,Commercial,Office Blocks,"Motive Power, Stationary"
Demand,C_OFFC-MPM,Commercial,Office Blocks,"Motive Power, Mobile"
Demand,C_OTH-OTH,Commercial,Other,Electronics and Other Electrical Uses
Demand,C_OTH-LT,Commercial,Other,Lighting
