TechName,Comm-IN,Comm-OUT,PRC_RESID,*Delivered energy 2018,EFF,LIFE,INVCOST,FIXOM,CAP2ACT,ACT_BND,AFA
*Technology Name,Input Commodity,Output Commodity,Existing Installed Capacity,*Energy from EEUD,Efficiency,Lifetime,CAPEX,FIXED O&M,Capacity to activity factor,Actual end-use in 2018,Annual utilisation factor
*Units,,,GW,*PJ,%,Years,NZD/kW,NZD/kW/yr,,End-use PJ,%
ADCF-MoTP-Stat-VacP_ELC00,AGRELC,ADCF-MoTP-Stat,0.0225233719595333,0.19110073948491,0.84,25,410.6135,14.4455571730976,31.536,0.160524621167324,0.225996460682432
ADCF-MoTP-Stat-VPVSD_ELC00,AGRELC,ADCF-MoTP-Stat,0.0353451183347652,0.263901021193445,0.954545454545454,25,643.4135,14.4455571730976,31.536,0.251905520230107,0.225996460682432
ADCF-IRG-Irg_ELC00,AGRELC,ADCF-IRG,0.1305891045017,0.957820433089842,0.7,20,6000,917.193226334835,31.536,0.670474303162889,0.16280531798484
ADCF-IRG-IrgVSD_ELC00,AGRELC,ADCF-IRG,0.0516915205319228,0.319273477696614,0.83125,20,6257.143,917.193226334835,31.536,0.26539607833531,0.16280531798484
ADCF-WH-Cylinder_ELC00,AGRELC,ADCF-WH,0.0329966021881322,0.282874696261882,0.831348973571429,20,518.5169,18.2416435324007,31.536,0.235167588386645,0.225996460682432
ADCF-WH-Hreco_ELC00,AGRELC,ADCF-WH,0.0851423842169137,0.173374813837929,3.5,20,1525.072,53.6526746794648,31.536,0.606811848432753,0.225996460682432
ADCF-MoTP-Mob-Trac-_DSL00,AGRDSL,ADCF-MoTP-Mob-Trac,1.70398395811761,1.40053476009667,0.111111111111111,15,965.2941,38.6117632705539,1,0.155614973344074,0.091324200913242
ADCF-MoTP-Mob-MTr-_DSL00,AGRDSL,ADCF-MoTP-Mob-MTr,2.19369313009794,0.400152788599048,0.125162986403551,22,264.043,70.3961418851545,1,0.0500843180387657,0.0228310502283105
ADCF-MoTP-Mob-Uti-_DSL00,AGRDSL,ADCF-MoTP-Mob-Uti,0.503892399043351,0.200076394299524,0.23,22,1851.867,11.8798116559935,1,0.0460175706888905,0.091324200913242
ADCF-MoTP-Mob-Bike-_PET00,AGRPET,ADCF-MoTP-Mob-Bike,0.114847171194,0.287117927985,0.1,10,363.4258,34.7504569685094,1,0.0287117927985,0.25
ADCF-PUMP-Pump_ELC00,AGRELC,ADCF-PUMP,0.0508779069438146,0.518011547713686,0.7,25,886.9063,31.2017359567491,31.536,0.36260808339958,0.225996460682432
ADCF-RFGR-RF_ELC00,AGRELC,ADCF-RFGR,0.0878444225578087,0.212112300879833,2.95159375,15,1637.346,57.6025148162404,31.536,0.626069341575034,0.225996460682432
ADCF-RFGR-HRECSys_ELC00,AGRELC,ADCF-RFGR,0.104165920175272,0.212112300879833,3.5,15,2395.57,84.2771653241708,31.536,0.742393053079415,0.225996460682432
ADCF-LIG-LT_ELC00,AGRELC,ADCF-LIG,0.000672261145159268,0.0199634232250852,0.24,3.42465753424658,365.1304,0,31.536,0.00479122157402045,0.225996460682432
ALIVE-IRG-Irg_ELC00,AGRELC,ALIVE-IRG,0.0670938316938737,0.492107233416602,0.7,20,6000,917.193226334835,31.536,0.344475063391622,0.16280531798484
ALIVE-IRG-IrgVSD_ELC00,AGRELC,ALIVE-IRG,0.0265579750454917,0.164035744472201,0.83125,20,6257.143,917.193226334835,31.536,0.136354712592517,0.16280531798484
ALIVE-MoTP-Mob-Trac-_DSL00,AGRDSL,ALIVE-MoTP-Mob-Trac,1.26724677292124,1.04157269007225,0.111111111111111,15,965.2941,38.6117632705539,1,0.115730298896917,0.091324200913242
ALIVE-MoTP-Mob-MTr-_DSL00,AGRDSL,ALIVE-MoTP-Mob-MTr,0.31722478121817,0.0578651494484584,0.125162986403551,22,264.043,70.3961418851545,1,0.00724257491365686,0.0228310502283105
ALIVE-MoTP-Mob-Uti-_DSL00,AGRDSL,ALIVE-MoTP-Mob-Uti,0.145733378885943,0.0578651494484584,0.23,22,1851.867,11.8798116559935,1,0.0133089843731454,0.091324200913242
ALIVE-MoTP-Mob-Bike-_PET00,AGRPET,ALIVE-MoTP-Mob-Bike,0.0852616800627965,0.213154200156991,0.1,10,363.4258,34.7504569685094,1,0.0213154200156991,0.25
ALIVE-LIG-LT_ELC00,AGRELC,ALIVE-LIG,0.00454030597131479,0.134828630703125,0.24,3.42465753424658,365.1304,0,31.536,0.03235887136875,0.225996460682432
AHORT-IRG-Irg_ELC00,AGRELC,AHORT-IRG,0.0678905981735931,0.497951206522845,0.7,20,6000,917.193226334835,31.536,0.348565844565992,0.16280531798484
AHORT-IRG-IrgVSD_ELC00,AGRELC,AHORT-IRG,0.0268733617770473,0.165983735507615,0.83125,20,6257.143,917.193226334835,31.536,0.137973980140705,0.16280531798484
AHORT-MoTP-Mob-Trac-_DSL00,AGRDSL,AHORT-MoTP-Mob-Trac,2.17442947487853,1.20636155798056,0.111111111111111,12,965.2941,62.4028497301881,1,0.134040173108951,0.0616438356164384
AHORT-MoTP-Mob-MTr-_DSL00,AGRDSL,AHORT-MoTP-Mob-MTr,0.367413417179599,0.0670200865544753,0.125162986403551,22,264.043,70.3961418851545,1,0.00838843418218261,0.0228310502283105
AHORT-MoTP-Mob-Uti-_DSL00,AGRDSL,AHORT-MoTP-Mob-Uti,0.168790087987446,0.0670200865544753,0.23,22,1851.867,11.8798116559935,1,0.0154146199075293,0.091324200913242
AHORT-MoTP-Stat-Motor_DSL00,AGRDSL,AHORT-MoTP-Stat,0.0129679671977708,0.215154465280689,0.328290155440415,20,2400,0,31.536,0.0706330928506968,0.172714863270979
AHORT-LIG-LT_ELC00,AGRELC,AHORT-LIG,0.000324340847077458,0.00963160469114412,0.24,3.42465753424658,365.1304,0,31.536,0.00231158512587459,0.225996460682432
AINDC-SH-Boiler_COA00,AGRCOA,AINDC-SH,0.109561125087831,1.34942192031363,0.702348402591253,25,600,11.25,31.536,0.947764330153901,0.274307239312479
