TimeSlice,Attribute,Cset_CN,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ADCF-MoTP-Stat,0.412430141397432,0.404718287476216,0.393291351299854,0.38076397809184,0.36737132700263,0.353233247937664,0.339639264900219,0.326568438660446,0.31400063582299,0.3019164978149
,Demand,ADCF-IRG,0.935870381498199,0.890958722265704,0.831518182535601,0.765383258285998,0.70209213602006,0.641824328350715,0.586729928066132,0.5363648482648,0.490323122603175,0.448233633015107
,Demand,ADCF-WH,0.841979436819398,0.826235625274933,0.80290744355246,0.777332710816459,0.74999150635598,0.721128504712856,0.693376279467585,0.666692083014729,0.641034812866421,0.61636494834094
,Demand,ADCF-MoTP-Mob-Trac,0.155614973344074,0.150414656378535,0.143251830015356,0.135239079895642,0.127236635937855,0.1192968743312,0.111852566049805,0.104872794044815,0.0983285705387294,0.092192716635911
,Demand,ADCF-MoTP-Mob-MTr,0.0500843180387657,0.0484106080916608,0.0461052690492751,0.0435263840182465,0.0409508160015173,0.0383954221540339,0.0359994888094991,0.0337530653874864,0.031646822239079,0.0296720118997894
,Demand,ADCF-MoTP-Mob-Uti,0.0460175706888905,0.0444797626719383,0.0423616125902554,0.0399921279119969,0.0376256909130516,0.0352777899807976,0.0330764016747281,0.0310123833818238,0.0290771630021671,0.027262703348048
,Demand,ADCF-MoTP-Mob-Bike,0.0287117927985,0.0277523065743117,0.026430726896137,0.0249523317504801,0.0234758381466831,0.0220109097710842,0.0206373951772735,0.0193495900047921,0.0181421458540397,0.0170100480737698
,Demand,ADCF-PUMP,0.36260808339958,0.355827830723686,0.345781282205189,0.334767230774326,0.322992428072848,0.310562245993214,0.298610432485422,0.287118577803818,0.276068980691461,0.265444621114339
,Demand,ADCF-RFGR,1.36846239465445,1.34287410460248,1.30495899880909,1.26339259175435,1.21895515243866,1.17204434842345,1.12693888033792,1.08356927084336,1.04186871639742,1.00177298435452
,Demand,ADCF-LIG,0.00479122157402045,0.00470163258142688,0.00456888529252205,0.00442335417159895,0.00426777107426631,0.0041035283028681,0.00394560632222626,0.0037937618802607,0.00364776108631089,0.00350737905086695
,Demand,ALIVE-IRG,0.480829775984138,0.451847403826388,0.433785106292539,0.38964623327447,0.349998616602098,0.309959148579463,0.27062465836818,0.236281800529331,0.206297126056518,0.180117572000201
,Demand,ALIVE-MoTP-Mob-Trac,0.115730298896917,0.110419151190404,0.10817405406212,0.0996583682902324,0.0918130549546402,0.0833944963552121,0.0746784193179773,0.0668733136546257,0.0598839680859902,0.0536251224553435
,Demand,ALIVE-MoTP-Mob-MTr,0.00724257491365686,0.00691019535956807,0.00676969382889705,0.00623676949765523,0.00574579807447806,0.00521895210671921,0.00467348699086734,0.00418503182385717,0.00374762814166875,0.00335594023638346
,Demand,ALIVE-MoTP-Mob-Uti,0.0133089843731454,0.0126982023868964,0.0124400162171438,0.0114607123533767,0.0105585013197836,0.0095903670808494,0.00858801822156739,0.00769043107028196,0.00688665632988888,0.0061668890823645
,Demand,ALIVE-MoTP-Mob-Bike,0.0213154200156991,0.0203372030300973,0.0199236968979819,0.018355262177951,0.0169102978903199,0.0153597522321477,0.0137544090790695,0.0123168503147097,0.0110295397499713,0.00987677401185212
,Demand,ALIVE-LIG,0.03235887136875,0.0313439953069879,0.031331746209408,0.0296015666701121,0.0279669298821901,0.026050566759402,0.0239229280294642,0.0219690608188542,0.0201747726142921,0.018527030053514
,Demand,AHORT-IRG,0.486539824706697,0.46819873262118,0.44578201288746,0.391875775095597,0.367666802620673,0.345006904733246,0.323793847195619,0.303932317715882,0.281811060588398,0.261299865926721
,Demand,AHORT-MoTP-Mob-Trac,0.134040173108951,0.130961521421439,0.127242406824913,0.114723548616314,0.110396014214688,0.106248200377367,0.102272108179402,0.0984601104965059,0.0936345853942317,0.0890455590364262
,Demand,AHORT-MoTP-Mob-MTr,0.00838843418218261,0.00819576756252998,0.00796301981769088,0.00717957097781544,0.0069087474130796,0.00664917102961711,0.0064003412427605,0.00616178073568316,0.00585979216930018,0.00557260404748641
,Demand,AHORT-MoTP-Mob-Uti,0.0154146199075293,0.0150605749634655,0.014632876784865,0.0131932080908761,0.0126955416346891,0.0122185430433973,0.0117612924406312,0.0113229127070982,0.0107679773203366,0.010240239289189
,Demand,AHORT-MoTP-Stat,0.0706330928506968,0.0690107830203282,0.0670509782802578,0.0604541077024053,0.0581736933153229,0.0559879835157637,0.053892763233009,0.0518840133184308,0.0493411804147068,0.0469229716247069
,Demand,AHORT-LIG,0.00231158512587459,0.00229288504379128,0.00227311804498807,0.00210175513476802,0.00207406503192638,0.00204705725243865,0.00202071490833118,0.00199502152962867,0.00194564225922166,0.00189748518732715
,Demand,AINDC-SH,1.19557939144066,1.23211521550469,1.21414646898304,1.17816879744875,1.16186106364847,1.14038152312966,1.1144694033388,1.08479443063374,1.0523859481396,1.0189370699075
,Demand,AINDC-LIG,0.00102944914128,0.00107706386189922,0.00108296085682364,0.00107767702892298,0.00108987009891478,0.00109700887893875,0.00109942991857448,0.00109745388159161,0.00109182567642641,0.00108408929543322
