TimeSlice,Attribute,Cset_CN,*2015,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ALU-PH-FURN,,14.6282,14.6282,14.6282,14.6282,14.6282,14.6282,14.6282,14.6282,14.6282,14.6282
,Demand,CNST-MoTP-Mob,,0.346388,0.38964721240617,0.438306683164233,0.493023586570981,0.530939686216283,0.571741638208364,0.580370622453188,0.589113897880063,0.598000037284501,0.607029040666502
,Demand,CNST-MoTP-Stat,,0.1547,0.174,0.1958,0.2202,0.2371,0.2554,0.2592,0.2631,0.2671,0.2711
,Demand,DARY-PH-MVR_DRY,,2.7476,2.7327684552,2.746830672,2.674458888,2.603982948,2.567137632,2.562384284,2.557658412,2.552960016,2.548234144
,Demand,DARY-PH-MVR_PRE,,0.7347,0.7307340894,0.734494284,0.715142286,0.696297231,0.686444904,0.685173873,0.683910189,0.682653852,0.681390168
,Demand,DARY-PH-TVR_EVP,,0.6109,0.6076023618,0.610728948,0.594637842,0.578968257,0.570776088,0.569719231,0.568668483,0.567623844,0.566573096
,Demand,DARY-PH-TVR_DRY,,0.5942,0.5909925084,0.594033624,0.578382396,0.563141166,0.555172944,0.554144978,0.553122954,0.552106872,0.551084848
,Demand,DARY-PH-MVR_TVR,,0.2891,0.2875394382,0.289019052,0.281404158,0.273988743,0.270111912,0.269611769,0.269114517,0.268620156,0.268122904
,Demand,DARY-PH-MVR_Fan,,15.1668,15.0849296136,15.162553296,14.763059784,14.374031364,14.170644576,14.144406012,14.118319116,14.092383888,14.066296992
,Demand,DARY-Pump,,0.233,0.231742266,0.23293476,0.22679754,0.22082109,0.21769656,0.21729347,0.21689271,0.21649428,0.21609352
,Demand,DARY-RFGR,,0.278,0.276499356,0.27792216,0.27059964,0.26346894,0.25974096,0.25926002,0.25878186,0.25830648,0.25782832
,Demand,DARY-PH-STM_HW,,0.1944,0.1933506288,0.194345568,0.189225072,0.184238712,0.181631808,0.181295496,0.180961128,0.180628704,0.180294336
,Demand,DARY-MoTP-Stat,,0.0493,0.0490338786,0.049286196,0.047987634,0.046723089,0.046061976,0.045976687,0.045891891,0.045807588,0.045722792
,Demand,DARY-AIR,,0.0661,0.0657431922,0.066081492,0.064340418,0.062644953,0.061758552,0.061644199,0.061530507,0.061417476,0.061303784
,Demand,FOOD-PH-STM_HW,,0.3401,0.3825662464,0.431927,0.482942,0.520353,0.561165,0.57817,0.595175,0.615581,0.632586
,Demand,FOOD-PH-OVN,,0.0754,0.0848147456,0.095758,0.107068,0.115362,0.12441,0.12818,0.13195,0.136474,0.140244
,Demand,FOOD-Pump,,0.2166,0.2436455424,0.275082,0.307572,0.331398,0.35739,0.36822,0.37905,0.392046,0.402876
,Demand,FOOD-MoTP-Stat,,0.1373,0.1544438272,0.174371,0.194966,0.210069,0.226545,0.23341,0.240275,0.248513,0.255378
,Demand,FOOD-RFGR,,0.1109,0.1247474176,0.140843,0.157478,0.169677,0.182985,0.18853,0.194075,0.200729,0.206274
,Demand,FOOD-PH-DirH,,0.0201,0.0226097664,0.025527,0.028542,0.030753,0.033165,0.03417,0.035175,0.036381,0.037386
,Demand,IIS-FDSTCK,,0,0,0,0,0,0,0,0,0,0
,Demand,IIS-PH-FURN,,0,0,0,0,0,0,0,0,0,0
,Demand,IIS-MoTP-Stat,,0,0,0,0,0,0,0,0,0,0
,Demand,MEAT-PH-STM_HW,,0.8112,0.7976635056,0.813503808,0.744454464,0.681261984,0.650687856,0.648408384,0.646145136,0.643881888,0.641626752
,Demand,MEAT-PH-DirH,,0.0135,0.0132747255,0.01353834,0.01238922,0.01133757,0.010828755,0.01079082,0.010753155,0.01071549,0.01067796
,Demand,MEAT-RFGR,,0.4869,0.4787750997,0.488282796,0.446837868,0.408908358,0.390557097,0.389188908,0.387830457,0.386472006,0.385118424
,Demand,MEAT-MoTP-Stat,,0.2064,0.2029558032,0.206986176,0.189417408,0.173338848,0.165559632,0.164979648,0.164403792,0.163827936,0.163254144
,Demand,METAL-PH-FURN,,0.2797,0.3146,0.3539,0.3981,0.4287,0.4617,0.4686,0.4757,0.4829,0.4901
,Demand,METAL-MoTP-Stat,,0.2052,0.2308,0.2597,0.2921,0.3145,0.3387,0.3438,0.349,0.3543,0.3596
,Demand,METAL-RFGR,,0.0535,0.0602,0.0677,0.0761,0.082,0.0883,0.0896,0.091,0.0923,0.0937
,Demand,METAL-PH-DirH,,0,0,0,0,0,0,0,0,0,0
,Demand,MTHOL-FDSTCK,,0,0,0,0,0,0,0,0,0,0
,Demand,MTHOL-PH_REFRM,,0,0,0,0,0,0,0,0,0,0
,Demand,MNRL-PH-FURN,,0,0,0,0,0,0,0,0,0,0
,Demand,MNRL-MoTP-Stat,,0,0,0,0,0,0,0,0,0,0
,Demand,MNRL-PH-STM_HW,,0,0,0,0,0,0,0,0,0,0
,Demand,MNNG-MoTP-Mob,,0,0,0,0,0,0,0,0,0,0
,Demand,MNNG-MoTP-Stat,,0,0,0,0,0,0,0,0,0,0
,Demand,MNNG-PH-STM_HW,,0,0,0,0,0,0,0,0,0,0
,Demand,OTH-ELC,,1.3938,1.5679,1.7636,1.9839,2.1364,2.3007,2.3353,2.3705,2.4063,2.4426
,Demand,OTH-DSL,,1.3781,1.5501,1.7437,1.9614,2.1122,2.2746,2.3089,2.3437,2.3791,2.4149
,Demand,OTH-LPG,,0.9058,1.0189,1.1461,1.2892,1.3883,1.4951,1.5176,1.5405,1.5637,1.5873
,Demand,OTH-COA,,0.3422,0.3849,0.433,0.487,0.5245,0.5648,0.5733,0.582,0.5908,0.5997
,Demand,OTH-NGA,,0,0,0,0,0,0,0,0,0,0
,Demand,OTH-PET,,0.0171,0.0193,0.0217,0.0244,0.0262,0.0282,0.0287,0.0291,0.0295,0.03
,Demand,OTH-BGS,,0.0136,0.0152,0.0171,0.0193,0.0208,0.0224,0.0227,0.023,0.0234,0.0237
,Demand,OTH-FOL,,0.0028,0.0032,0.0036,0.004,0.0043,0.0047,0.0047,0.0048,0.0049,0.0049
,Demand,CHMCL-PH-STM_HW,,0,0,0,0,0,0,0,0,0,0
