TimeSlice,Attribute,Cset_CN,*2015,*2016,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
\I:,Demand,AGR,24.184,24.861152,24.861152,26.36056,30.95552,37.4852,42.56384,48.12616,43.5312,39.17808,35.55048,32.16472
\I:,Demand,CCK,0.51,0.52428,0.52428,0.5559,0.6477,0.7905,0.8925,1.0098,1.1577,1.3209,1.5096,1.7238
\I:,Demand,CCL,6.6,6.7848,6.7848,7.194,8.382,10.23,11.55,13.068,14.982,17.094,19.536,22.308
\I:,Demand,CH,14.76,15.17328,15.17328,16.0884,18.7452,22.878,25.83,29.2248,33.5052,38.2284,43.6896,49.8888
\I:,Demand,CHW,4.06,4.17368,4.17368,4.4254,5.1562,6.293,7.105,8.0388,9.2162,10.5154,12.0176,13.7228
\I:,Demand,CL,1.62,1.66536,1.66536,1.7658,2.0574,2.511,2.835,3.2076,3.6774,4.1958,4.7952,5.4756
\I:,Demand,CMotS,1.97,2.02516,2.02516,2.1473,2.5019,3.0535,3.4475,3.9006,4.4719,5.1023,5.8312,6.6586
\I:,Demand,CMotT,0.52,0.53456,0.53456,0.5668,0.6604,0.806,0.91,1.0296,1.1804,1.3468,1.5392,1.7576
\I:,Demand,COTH,2.54,2.61112,2.61112,2.7686,3.2258,3.937,4.445,5.0292,5.7658,6.5786,7.5184,8.5852
\I:,Demand,CRF,7.29,7.49412,7.49412,7.9461,9.2583,11.2995,12.7575,14.4342,16.5483,18.8811,21.5784,24.6402
\I:,Demand,ICHEM,17.07,17.54796,17.54796,20.1461567663806,23.5681539442522,28.6742629004845,32.4422965441931,36.7054807551332,16.2864168089191,7.2263696597067,3.20637860810068,1.42268722230063
\I:,Demand,IFOOD,32.44,33.34832,33.34832,38.2859593146681,44.7891572320763,54.4928581424556,61.653667246258,69.755465477242,61.4612402202765,54.1532340666116,47.7141813175736,42.0407596710825
\I:,Demand,IMET,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53,19.53
\I:,Demand,IMETH,1.856,1.856,1.856,1.856,1.856,1.856,1.856,1.856,1.856,0,0,0
\I:,Demand,IOTH,25.98,26.70744,26.70744,30.6618132859149,35.8699847376492,43.6413210401047,49.3761490461708,55.8645805517493,58.7142356045095,61.7092517042787,64.8570437253475,68.1654047751154
\I:,Demand,IWOD,49.73,51.12244,51.12244,58.6917619210372,68.6610600848074,83.5366780340418,94.5140836053147,106.934010424884,123.965825946494,143.710368118957,166.599703968416,193.134717596639
\I:,Demand,RCD,0.22,0.223631376461148,0.223631376461148,0.23815688230574,0.259796664570276,0.279908741948776,0.296626661750992,0.30452759645204,0.311474311986294,0.316927674524517,0.318659582312247,0.320391490099976
\I:,Demand,RCK,0.52,0.528583253453623,0.528583253453623,0.562916267268114,0.614064843529743,0.661602480969834,0.701117564138709,0.719792500704821,0.736212010149422,0.749101776148858,0.753195376374401,0.757288976599944
\I:,Demand,RCL,0.22,0.223631376461148,0.223631376461148,0.23815688230574,0.259796664570276,0.279908741948776,0.296626661750992,0.30452759645204,0.311474311986294,0.316927674524517,0.318659582312247,0.320391490099976
\I:,Demand,RH,15.94,16.1021438297971,16.1021438297971,17.8086355713164,19.4267916055267,21.7679390137452,23.0680579602193,23.6824977362926,24.1646622827947,24.6468268292967,24.7815138091968,24.916200789097
\I:,Demand,RHW,11.27,11.4560255123506,11.4560255123506,12.2001275617532,13.3086745895773,14.3389614625577,15.1953748996986,15.6001182364295,15.9559795276615,16.2353404176878,16.3240613302683,16.4127822428488
\I:,Demand,RL,1.03,1.04700144434083,1.04700144434083,1.11500722170415,1.21632074776084,1.31048183730563,1.38875209819783,1.42574283793455,1.45826609702674,1.48379774891024,1.49190622628006,1.50001470364989
\I:,Demand,ROTH,3.92,3.984704526035,3.984704526035,4.24352263017501,4.62910420507037,4.98746485654182,5.2853477911995,5.42612808223634,5.54990592266487,5.64707492789139,5.67793437574548,5.70879382359958
\I:,Demand,RRF,8.08,8.21337055366399,8.21337055366399,8.74685276831992,9.54162295330832,10.2802847043005,10.8942883043092,11.1844680878749,11.4396020038602,11.6398891370823,11.7034973867407,11.7671056363991
\I:,Demand,Rmot,0.15,0.152475938496237,0.152475938496237,0.162379692481187,0.177134089479734,0.190846869510529,0.202245451193858,0.207632452126391,0.212368849081564,0.216087050812171,0.217267897031077,0.218448743249984
,Demand,T_P_Car,24.52648,25.2551069703708,26.7123,26.7123609111124,28.3683688629049,30.9643490979537,34.546486970488,37.8273815480194,40.077068550355,42.6509094837967,45.4063851072573,47.8174450906506
,Demand,T_C_Car,5.0481172027972,5.48378229839863,6.3551,6.35511248960149,7.08231632789445,7.93948476060355,9.17907402980885,10.4481981933377,11.5638564520568,12.8544538632472,14.2475284831207,15.5790277740908
,Demand,T_F_MTrk,0.579476351785286,0.599305973808361,0.6389,0.638965217854511,0.63668387556694,0.680037736566628,0.730165136980891,0.76692966594007,0.776631551298258,0.79256640202481,0.807015822946264,0.807822187031736
,Demand,T_F_HTrk,0.43,0.44,0.46,0.49,0.52,0.56,0.59,0.6,0.61,0.62,0.63,0.63
,Demand,T_F_VHTrk,0.95,0.98,1.04,1.11,1.18,1.27,1.33,1.35,1.38,1.4,1.4,1.4
,Demand,T_P_Mcy,0.294756,0.297615270231991,0.3033,0.303333810695972,0.317998615707448,0.337890903999519,0.358129707475886,0.367250735139959,0.360542854764636,0.363636476464615,0.375947861698774,0.384145785345777
