TechName,Comm-IN,Comm-OUT,Share-I~UP,Share-I~UP~2021,Share-I~UP~0,*PRC_RESID~2015,PRC_RESID~2018,*NCAP_PASTY,EFF,LIFE,INVCOST,VAROM,CAP2ACT,*ACT_BND~NI~2015,ACT_BND~NI~2018,*ACT_BND~SI~2018,ACT_BND~NI~0,AFA,*AFA~LO,*FLO_MARK~NI~2018,*FLO_MARK~SI~2018,*FLO_MARK~0,NCAP_BND~2025,NCAP_BND~0
*Technology Name,Input Commodity,Output Commodity,Input Share,Input Share,Input Share,Existing Installed Capacity,Existing Installed Capacity,Existing Installed Capacity installation period,Efficiency,Lifetime,CAPEX,Variable O&M,Capacity to activity factor,Actual end-use in 2018,Actual end-use in 2018,Actual end-use in 2018,Actual end-use in 2018,Annual utilisation factor,Annual utilisation factor,Technology market share in end-use,Technology market share in end-use,Technology market share in end-use,Technology investment ban for existing tech,
*Units,,,,,,GW,GW,Years,%,Years,NZD/kW,MNZD/PJ,,Eun-use PJ,Eun-use PJ,Eun-use PJ,Eun-use PJ,%,%,%,%,Interpolation/extrapolation rule,,
ALU-PH-FURN-ELC-Furn15,INDELC,ALU-PH-FURN,,,,0,0,21,0.8,25,63,,31.536,0,0,14.6282,5,0.9,0.63,0.05,,5,0,5
CNST-MoTP-Mob-DSL-ICE_Off15,INDDSL,CNST-MoTP-Mob,,,,0.283,0.283,16,0.18,20,2388,,31.536,0.8,0.802685,0,5,0.09,0.06,0.928,0.05,5,0,5
CNST-MoTP-Mob-NGA-ICE_Off15,INDNGA,CNST-MoTP-Mob,,,,0.023,0.023,16,0.13,20,2723,,31.536,0.06,0.0632,0,5,0.09,0.06,0.073,0.05,5,0,5
CNST-MoTP-Stat-ELC-Mtr15,INDELC,CNST-MoTP-Stat,,,,0.023,0.023,6,0.675,10,280,,31.536,0.36,0.3585,0.1547,5,0.5,0.35,,,,0,5
CNST-MoTP-Stat-DSL-St_ngn15,INDDSL,CNST-MoTP-Stat,,,,0.11,0.011,16,0.22,20,455,,31.536,0.17,0.1694,0,5,0.5,0.35,,,,0,5
DARY-PH-MVR_DRY-COA-BLR15,INDCOA,DARY-PH-MVR_DRY,,,,0.18,0.18,16,0.8,20,750,,31.536,3.88,3.8845,2.7476,5,0.685,0.48,0.589,,5,0,5
DARY-PH-MVR_DRY-NGA-BLR15,INDNGA,DARY-PH-MVR_DRY,,,,0.126,0.126,21,0.87,25,250,,31.536,2.72,2.7169,0,5,0.685,0.48,0.412,0,5,0,5
DARY-PH-MVR_PRE-COA-BLR15,INDCOA,DARY-PH-MVR_PRE,,,,0.049,0.049,16,0.8,20,750,,31.536,1.04,1.0387,0.7347,5,0.685,0.48,0.589,1,5,0,5
DARY-PH-MVR_PRE-NGA-BLR15,INDNGA,DARY-PH-MVR_PRE,,,,0.034,0.034,21,0.87,25,250,,31.536,0.73,0.7264,0,5,0.685,0.48,0.412,0,5,0,5
DARY-PH-TVR_EVP-COA-BLR15,INDCOA,DARY-PH-TVR_EVP,,,,0.04,0.04,16,0.8,20,750,,31.536,0.86,0.8637,0.6109,5,0.685,0.48,0.589,1,5,0,5
DARY-PH-TVR_EVP-NGA-BLR15,INDNGA,DARY-PH-TVR_EVP,,,,0.028,0.028,21,0.87,25,250,,31.536,0.6,0.6041,0,5,0.685,0.48,0.412,0,5,0,5
DARY-PH-TVR_DRY-COA-BLR15,INDCOA,DARY-PH-TVR_DRY,,,,0.039,0.039,16,0.8,20,750,,31.536,0.84,0.8401,0.5942,5,0.685,0.48,0.589,1,5,0,5
DARY-PH-TVR_DRY-NGA-BLR15,INDNGA,DARY-PH-TVR_DRY,,,,0.028,0.028,21,0.87,25,250,,31.536,0.59,0.5876,0,5,0.685,0.48,,,,0,5
DARY-PH-MVR_TVR-COA-BLR15,INDCOA,DARY-PH-MVR_TVR,,,,0.019,0.019,16,0.8,20,750,,31.536,0.41,0.4087,0.2891,5,0.685,0.48,,,,0,5
DARY-PH-MVR_TVR-NGA-BLR15,INDNGA,DARY-PH-MVR_TVR,,,,0,0.014,21,0.87,25,250,,31.536,0.29,0.2859,0,5,0.685,0.48,,,,0,5
DARY-PH-MVR_Fan-ELC-Fan15,INDELC,DARY-PH-MVR_Fan,,,,1.687,1.687,21,43.4339175556657,25,404.591641485669,,31.536,36.44,36.4393,15.1668,5,0.685,0.48,1,1,5,0,5
DARY-Pump-ELC-Pump15,INDELC,DARY-Pump,,,,0.036,0.036,6,0.75,10,2308,,31.536,0.56,0.5599,0.233,5,0.5,0.35,1,1,5,0,5
DARY-RFGR-ELC-Refriger15,INDELC,DARY-RFGR,,,,0.022,0.022,5,1,5,0,,31.536,0.67,0.6679,0.278,5,1,0.7,1,,5,0,5
DARY-PH-STM_HW-DSL-BLR15,INDDSL,DARY-PH-STM_HW,,,,0.004,0.004,21,0.85,25,300,,31.536,0.07,0.0709,0.0295,5,0.685,0.48,0.152,,5,0,5
DARY-PH-STM_HW-GEO-Heat15,INDGEO,DARY-PH-STM_HW,,,,0.008,0.008,6,0.970124,10,100,,31.536,0.15,0.1542,0.0642,5,0.685,0.48,0.331,0.331,5,0,5
DARY-PH-STM_HW-LPG-BLR15,INDLPG,DARY-PH-STM_HW,,,,0.012,0.012,21,0.87,25,350,,31.536,0.24,0.242,0.1007,5,0.685,0.48,,,,0,5
DARY-MoTP-Stat-ELC-Mtr15,INDELC,DARY-MoTP-Stat,,,,0.008,0.008,6,0.675,10,280,,31.536,0.12,0.1185,0.0493,5,0.5,0.35,1,,5,0,5
DARY-AIR-ELC-CMPR15,INDELC,DARY-AIR,,,,0.008,0.008,21,1,25,0,,31.536,0.16,0.1588,0.0661,5,0.68,0.48,1,1,5,0,5
FOOD-PH-STM_HW-COA-BLR15,INDCOA,FOOD-PH-STM_HW,,,,0,0,21,0.8,25,750,,31.536,0,0,0.3401,5,0.685,0.48,0,,5,0,5
FOOD-PH-STM_HW-NGA-BLR15,INDNGA,FOOD-PH-STM_HW,,,,0.349,0.349,21,0.87,25,250,,31.536,7.54,7.5357,0,5,0.685,0.48,1,0,5,0,5
FOOD-PH-OVN-COA-Oven15,INDCOA,FOOD-PH-OVN,,,,0,0,6,0.5,10,100,,31.536,0,0,0.0519,5,0.9,0.63,0,,5,0,5
FOOD-PH-OVN-ELC-Oven15,INDELC,FOOD-PH-OVN,,,,0.003,0.003,6,0.5,10,100,,31.536,0.07,0.0748,0.0234,5,0.9,0.63,0.056,0.311,5,0,5
FOOD-PH-OVN-NGA-Oven15,INDNGA,FOOD-PH-OVN,,,,0.045,0.045,6,0.5,10,100,,31.536,1.26,1.2639,0,5,0.9,0.63,,,,0,5
FOOD-Pump-ELC-Pump15,INDELC,FOOD-Pump,,,,0.044,0.044,6,0.75,10,2308,,31.536,0.69,0.691,0.2166,5,0.5,0.35,,,,0,5
FOOD-MoTP-Stat-ELC-Mtr15,INDELC,FOOD-MoTP-Stat,,,,0.028,0.028,6,0.675,10,280,,31.536,0.44,0.4379,0.1373,5,0.5,0.35,,,,0,5
FOOD-RFGR-ELC-Refriger15,INDELC,FOOD-RFGR,,,,0.12,0.012,5,1,5,0,,31.536,0.35,0.3537,0.1109,5,1,0.7,,,,0,5
