Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
PRE,FTE_RESCOA_00,Residential,,,Coal,Residential -:-  -:-  -:- Coal,Distribution network for Residential Coal,PJ,PJ_a,,,
PRE,FTE_RESNGA_00,Residential,,,Natural Gas,Residential -:-  -:-  -:- Natural Gas,Distribution network for Residential Natural gas,PJ,PJ_a,,,
PRE,FTE_RESLPG_00,Residential,,,LPG,Residential -:-  -:-  -:- LPG,Distribution network for Residential LPG,PJ,PJ_a,,,
PRE,FTE_RESDSL_00,Residential,,,Diesel,Residential -:-  -:-  -:- Diesel,Distribution network for Residential Diesel,PJ,PJ_a,,,
PRE,FTE_RESWOD_00,Residential,,,Wood,Residential -:-  -:-  -:- Wood,Distribution network for Residential Firewood,PJ,PJ_a,,,
PRE,FTE_RESGEO_00,Residential,,,Geothermal,Residential -:-  -:-  -:- Geothermal,Distribution network for Residential Geothermal,PJ,PJ_a,,,
PRE,FTE_RESSOL_00,Residential,,,Solar,Residential -:-  -:-  -:- Solar,Distribution network for Residential Solar energy,PJ,PJ_a,,,
PRE,FTE_RESPET_00,Residential,,,Petrol,Residential -:-  -:-  -:- Petrol,Distribution network for Residential petroleum,PJ,PJ_a,,,
DMD,R_DDW-SH_Burner-WOD00,Residential,Detached Dwellings,Burner,Wood,Residential -:- Detached Dwellings -:- Burner -:- Wood,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),PJ,GW,,,
DMD,R_DDW-SH_Burner-NGA00,Residential,Detached Dwellings,Burner,Natural Gas,Residential -:- Detached Dwellings -:- Burner -:- Natural Gas,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),PJ,GW,,,
DMD,R_DDW-SH_Burner-LPG00,Residential,Detached Dwellings,Burner,LPG,Residential -:- Detached Dwellings -:- Burner -:- LPG,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),PJ,GW,,,
DMD,R_DDW-SH_Burner-DSL00,Residential,Detached Dwellings,Burner,Diesel,Residential -:- Detached Dwellings -:- Burner -:- Diesel,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),PJ,GW,,,
DMD,R_DDW-SH_Burner-COA00,Residential,Detached Dwellings,Burner,Coal,Residential -:- Detached Dwellings -:- Burner -:- Coal,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),PJ,GW,,,
DMD,R_DDW-SH_OF-WOD00,Residential,Detached Dwellings,Open Fire,Wood,Residential -:- Detached Dwellings -:- Open Fire -:- Wood,Detached dwellings - Heat/Cooling Devices - Open Fire,PJ,GW,,,
DMD,R_DDW-SH_OF-COA00,Residential,Detached Dwellings,Open Fire,Coal,Residential -:- Detached Dwellings -:- Open Fire -:- Coal,Detached dwellings - Heat/Cooling Devices - Open Fire,PJ,GW,,,
DMD,R_DDW-SH_OFWB-COA00,Residential,Detached Dwellings,Open Fire (with Wetback),Coal,Residential -:- Detached Dwellings -:- Open Fire (with Wetback) -:- Coal,"Detached dwellings - Heat/Cooling Devices - Open Fire, with Wetback",PJ,GW,,,
DMD,R_DDW-SH_HP-ELC00,Residential,Detached Dwellings,Heat Pump,Electricity,Residential -:- Detached Dwellings -:- Heat Pump -:- Electricity,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Heating),PJ,GW,,,
DMD,R_DDW-SH_RH-ELC00,Residential,Detached Dwellings,Resistance Heater,Electricity,Residential -:- Detached Dwellings -:- Resistance Heater -:- Electricity,Detached dwellings - Heat/Cooling Devices - Resistance Heater,PJ,GW,,,
DMD,R_DDW-WH_OFWB-COA00,Residential,Detached Dwellings,Open Fire (with Wetback),Coal,Residential -:- Detached Dwellings -:- Open Fire (with Wetback) -:- Coal,"Detached dwellings - Heat/Cooling Devices - Open Fire, with Wetback",PJ,GW,,,
DMD,R_DDW-WH_HWC-SOL00,Residential,Detached Dwellings,Hot Water Cylinder,Solar,Residential -:- Detached Dwellings -:- Hot Water Cylinder -:- Solar,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,PJ,GW,,,
DMD,R_DDW-WH_HWC-ELC00,Residential,Detached Dwellings,Hot Water Cylinder,Electricity,Residential -:- Detached Dwellings -:- Hot Water Cylinder -:- Electricity,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,PJ,GW,,,
DMD,R_DDW-WH_Gasheat-NGA00,Residential,Detached Dwellings,Gas Heater,Natural Gas,Residential -:- Detached Dwellings -:- Gas Heater -:- Natural Gas,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,PJ,GW,,,
DMD,R_DDW-WH_Gasheat-LPG00,Residential,Detached Dwellings,Gas Heater,LPG,Residential -:- Detached Dwellings -:- Gas Heater -:- LPG,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,PJ,GW,,,
DMD,R_DDW-WH_BRNWB-WOD00,Residential,Detached Dwellings,Burner (with Wetback),Wood,Residential -:- Detached Dwellings -:- Burner (with Wetback) -:- Wood,"Detached dwellings - Heat/Cooling Devices - Burner, with Wetback",PJ,GW,,,
DMD,R_DDW-CK_Oven-COA00,Residential,Detached Dwellings,Oven,Coal,Residential -:- Detached Dwellings -:- Oven -:- Coal,Detached dwellings - Heat/Cooling Devices - Cooking Ovens,PJ,GW,,,
DMD,R_DDW-CK_Appl-ELC00,Residential,Detached Dwellings,Cooking Element,Electricity,Residential -:- Detached Dwellings -:- Cooking Element -:- Electricity,Detached dwellings - Heat/Cooling Devices - Cooking Appliances,PJ,GW,,,
