Fuel,Unit,Value,Year,Note
Aviation Fuel,USD/bbl,102,2023,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Aviation Fuel,USD/bbl,99,2030,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Aviation Fuel,USD/bbl,95,2050,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Crude oil,USD/bbl,82,2023,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Crude oil,USD/bbl,79,2030,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Crude oil,USD/bbl,75,2050,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Diesel,USD/bbl,113.6,2023,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Diesel,USD/bbl,110.6,2030,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Diesel,USD/bbl,106.6,2050,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Fuel oil,USD/bbl,82,2023,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Fuel oil,USD/bbl,79,2030,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Fuel oil,USD/bbl,75,2050,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
LPG,NZD/GJ,42,2023,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
LPG,NZD/GJ,41,2030,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
LPG,NZD/GJ,40,2050,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Natural gas,NZD/GJ,9.3,2023,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Natural gas,NZD/GJ,12.03,2024,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Natural gas,NZD/GJ,30,2030,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Natural gas,NZD/GJ,35,2050,Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Petrol,USD/bbl,104.6,2023,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Petrol,USD/bbl,101.6,2030,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
Petrol,USD/bbl,97.6,2050,Landed Cost ONLY. Assumptions hardcoded. This is a very simple implementation. If we wanted to automatically reflect the impacts of oil prices in different scenarios this would need to be scripted more robustly.
