Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
DISTR,NI,FTE_TRANGA,Transport,,,Natural Gas,Transport -:-  -:-  -:- Natural Gas,Distribution of Transport Natural Gas,PJ,PJa,,,
,NI,FTE_TRABIL,Transport,,,Bio Liquids,Transport -:-  -:-  -:- Bio Liquids,Distribution of Transport Bio Liquids,PJ,PJa,,,
,NI,FTE_TRALPG,Transport,,,LPG,Transport -:-  -:-  -:- LPG,Distribution of Transport LPG,PJ,PJa,,,
,NI,FTE_TRAPET,Transport,,,Petrol,Transport -:-  -:-  -:- Petrol,Distribution of Transport Petrol,PJ,PJa,,,
,NI,FTE_TRADSL,Transport,,,Diesel,Transport -:-  -:-  -:- Diesel,Distribution of Transport Diesel,PJ,PJa,,,
,NI,FTE_TRAJET,Transport,,,Jet Fuel,Transport -:-  -:-  -:- Jet Fuel,Distribution of Transport Aviation fuel_Kero,PJ,PJa,,,
\I:,NI,FTE_TRAH2R,Transport,,,Green Hydrogen,Transport -:-  -:-  -:- Green Hydrogen,Distribution of Transport jet Hydrogen,PJ,GW,DAYNITE,,
,NI,G_ELC_T_00,Transport,,,Electricity,Transport -:-  -:-  -:- Electricity,Distribution of Transport electricity,PJ,GW,DAYNITE,,
,NI,FTE_TRAFOL,Transport,,,Fuel Oil,Transport -:-  -:-  -:- Fuel Oil,Distribution of Transport LFO,PJ,PJa,,,
