Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
DMD,,ADCF-MoTP-Stat-VacP-ELC,Agriculture,Dairy Cattle Farming,Vacuum Pump,Electricity,Agriculture -:- Dairy Cattle Farming -:- Vacuum Pump -:- Electricity,Dairy Cattle Farming-Vacuum Pump,PJ,GW,,,
DMD,,ADCF-MoTP-Stat-VPVSD-ELC,Agriculture,Dairy Cattle Farming,Vacuum Pump with VSD,Electricity,Agriculture -:- Dairy Cattle Farming -:- Vacuum Pump with VSD -:- Electricity,Dairy Cattle Farming-Vacuum pump with VSD,PJ,GW,,,
DMD,,ADCF-IRG-Irg-ELC,Agriculture,Dairy Cattle Farming,Irrigator,Electricity,Agriculture -:- Dairy Cattle Farming -:- Irrigator -:- Electricity,Dairy Cattle Farming-Irrigation,PJ,GW,,,
DMD,,ADCF-IRG-IrgVSD-ELC,Agriculture,Dairy Cattle Farming,Irrigator with VSD,Electricity,Agriculture -:- Dairy Cattle Farming -:- Irrigator with VSD -:- Electricity,Dairy Cattle Farming-Irrigation with VSD,PJ,GW,,,
DMD,,ADCF-WH-Cylinder-ELC,Agriculture,Dairy Cattle Farming,Hot Water Cylinder,Electricity,Agriculture -:- Dairy Cattle Farming -:- Hot Water Cylinder -:- Electricity,Dairy Cattle Farming-Hot Water Cylinder,PJ,GW,,,
DMD,,ADCF-WH-Hreco-ELC,Agriculture,Dairy Cattle Farming,Heat Recovery System (Heating),Electricity,Agriculture -:- Dairy Cattle Farming -:- Heat Recovery System (Heating) -:- Electricity,Dairy Cattle Farming-Heat Recovery & Heat Pump,PJ,GW,,,
\I:,\I:,\I:,,,,,,\I:Dairy Cattle Farming-Hot Water Heat Pump,PJ,GW,,,
DMD,,ADCF-MoTP-Mob-Trac--DSL,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Diesel,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Diesel,Dairy Cattle Farming-Tractor,PJ,GW,,,
DMD,,ADCF-MoTP-Mob-Trac--ELC,Agriculture,Dairy Cattle Farming,Tractor (Agricultural),Electricity,Agriculture -:- Dairy Cattle Farming -:- Tractor (Agricultural) -:- Electricity,Dairy Cattle Farming-Electric Tractor,PJ,GW,,,
