TimeSlice,Attribute,NI,SI,Cset_Set,Cset_CN,Year
SUM-WK-D,COM_FR,0.0913840203982165,0.0913840203982165,DEM,AINDC*,2020
SUM-WK-N,COM_FR,0.0670969420687887,0.0670969420687887,DEM,AINDC*,2020
SUM-WK-P,COM_FR,0.00503303448658667,0.00503303448658667,DEM,AINDC*,2020
SUM-WE-D,COM_FR,0.034629309861765,0.034629309861765,DEM,AINDC*,2020
SUM-WE-N,COM_FR,0.0264245893844141,0.0264245893844141,DEM,AINDC*,2020
SUM-WE-P,COM_FR,0.00188551506912717,0.00188551506912717,DEM,AINDC*,2020
FAL-WK-D,COM_FR,0.0947695583420354,0.0947695583420354,DEM,AINDC*,2020
FAL-WK-N,COM_FR,0.0647515972846672,0.0647515972846672,DEM,AINDC*,2020
FAL-WK-P,COM_FR,0.00472552896600047,0.00472552896600047,DEM,AINDC*,2020
FAL-WE-D,COM_FR,0.0364567222977003,0.0364567222977003,DEM,AINDC*,2020
FAL-WE-N,COM_FR,0.0259120177532439,0.0259120177532439,DEM,AINDC*,2020
FAL-WE-P,COM_FR,0.00167914213578372,0.00167914213578372,DEM,AINDC*,2020
WIN-WK-D,COM_FR,0.133051799607058,0.133051799607058,DEM,AINDC*,2020
WIN-WK-N,COM_FR,0.0949179206536478,0.0949179206536478,DEM,AINDC*,2020
WIN-WK-P,COM_FR,0.00770777658922929,0.00770777658922929,DEM,AINDC*,2020
WIN-WE-D,COM_FR,0.0540971770535414,0.0540971770535414,DEM,AINDC*,2020
WIN-WE-N,COM_FR,0.038959379837449,0.038959379837449,DEM,AINDC*,2020
WIN-WE-P,COM_FR,0.00300741467077737,0.00300741467077737,DEM,AINDC*,2020
SPR-WK-D,COM_FR,0.0859982067919798,0.0859982067919798,DEM,AINDC*,2020
SPR-WK-N,COM_FR,0.061568301552097,0.061568301552097,DEM,AINDC*,2020
SPR-WK-P,COM_FR,0.00528356576084896,0.00528356576084896,DEM,AINDC*,2020
SPR-WE-D,COM_FR,0.0335483938548813,0.0335483938548813,DEM,AINDC*,2020
SPR-WE-N,COM_FR,0.0249811587481505,0.0249811587481505,DEM,AINDC*,2020
SPR-WE-P,COM_FR,0.0021309268320107,0.0021309268320107,DEM,AINDC*,2020
