UC_N,Pset_Set,Pset_PN,Year,LimType,UC_NCAP~2020,UC_NCAP~2025,UC_NCAP~2030,UC_NCAP~2035,UC_RHST,UC_RHST~0,UC_Desc
Min_ICE_LPV_Uptake,,T_P_CICE*,2020,LO,0.29,1,1,1,0,5,Minimum LPV uptakes
,,"T_P_C*,-T_P_CICE*",,,-0.71,0,0,0,,,
Min_ICE_LCV_Uptake,,T_C_CICE*,2020,LO,0.01,0.24,1,1,0,5,Minimum LCV uptakes
,,"T_C_C*,-T_C_CICE*",,,-0.99,-0.76,0,0,,,
Min_ICE_MT_Uptake,,T_F_M*ICE*,2020,LO,0.04,0.53,0.77,1,0,5,Minimum MT uptakes
,,"T_F_M*,-T_F_M*ICE*",,,-0.96,-0.47,-0.23,0,,,
Min_ICE_Bus_Uptake,,T_P_B*ICE*,2020,LO,0.06,0.34,0.67,1,0,5,Minimum Bus uptakes
,,"T_P_B*,-T_P_B*ICE*",,,-0.94,-0.66,-0.33,0,,,
Min_ICE_LCV_Uptake_ADCF,,ADCF*MoTP-Mob*Uti*DSL,2020,LO,0,0.05,0.5,1,0,5,Minimum LCV uptakes in DCF
,,"ADCF*MoTP-Mob*Uti*,-ADCF*MoTP-Mob*Uti*DSL",,,-1,-0.95,-0.5,0,,,
Min_ICE_LCV_Uptake_ALIVE,,ALIVE*MoTP-Mob*Uti*DSL,2020,LO,0,0.05,0.5,1,0,5,Minimum LCV uptakes in LIVE
,,"ALIVE*MoTP-Mob*Uti*,-ALIVE*MoTP-Mob*Uti*DSL",,,-1,-0.95,-0.5,0,,,
Min_ICE_LCV_Uptake_AHORT,,AHORT*MoTP-Mob*Uti*DSL,2020,LO,0,0.05,0.5,1,0,5,Minimum LCV uptakes in HORT
,,"AHORT*MoTP-Mob*Uti*,-AHORT*MoTP-Mob*Uti*DSL",,,-1,-0.95,-0.5,0,,,
Min_ICE_MT_Uptake_ADCF,,ADCF*MoTP-Mob*Uti*DSL,2020,LO,0.04,0.53,0.77,1,0,5,Minimum LCV uptakes in DCF
,,"ADCF*MoTP-Mob*Uti*,-ADCF*MoTP-Mob*Uti*DSL",,,-0.96,-0.47,-0.23,0,,,
Min_ICE_MT_Uptake_ALIVE,,ALIVE*MoTP-Mob*Uti*DSL,2020,LO,0.04,0.53,0.77,1,0,5,Minimum LCV uptakes in LIVE
,,"ALIVE*MoTP-Mob*Uti*,-ALIVE*MoTP-Mob*Uti*DSL",,,-0.96,-0.47,-0.23,0,,,
Min_ICE_MT_Uptake_AHORT,,AHORT*MoTP-Mob*Uti*DSL,2020,LO,0.04,0.53,0.77,1,0,5,Minimum LCV uptakes in HORT
,,"AHORT*MoTP-Mob*Uti*,-AHORT*MoTP-Mob*Uti*DSL",,,-0.96,-0.47,-0.23,0,,,
