Sets,Region,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
*Process Set Membership,Region Name,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,TimeSlice level of Process Activity,Primary Commodity Group,Vintage Tracking
*,,,,,,,,,,,,,
MIN,,MINWODWST00,Primary Fuel Supply,Biomass/Biofuels,,Residual Woody Biomass,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Residual Woody Biomass,Residual Woody Biomass,PJ,PJa,,,
MIN,,MINWODWST01,Primary Fuel Supply,Biomass/Biofuels,,Purpose Grown Forests,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Purpose Grown Forests,Purpose Grown Forests,PJ,PJa,,,
MIN,,MINAGRWST00,Primary Fuel Supply,Biomass/Biofuels,,Straw & Stover,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Straw & Stover,Straw & Stover,PJ,PJa,,,
MIN,,MINAGRWST01,Primary Fuel Supply,Biomass/Biofuels,,Fruit and vegetables culls,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Fruit and vegetables culls,Fruit and vegetables culls,PJ,PJa,,,
MIN,,MINMNCWST00,Primary Fuel Supply,Biomass/Biofuels,,Municipal Solid Waste,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Municipal Solid Waste,Municipal Solid Waste,PJ,PJa,,,
MIN,,MINANMMNR00,Primary Fuel Supply,Biomass/Biofuels,,Animal Manure,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Animal Manure,Animal Manure,PJ,PJa,,,
MIN,,MINOILWST00,Primary Fuel Supply,Biomass/Biofuels,,Waste Oil,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Waste Oil,Waste Oil,PJ,PJa,,,
MIN,,MINOILWST01,Primary Fuel Supply,Biomass/Biofuels,,Tallow Waste,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Tallow Waste,Tallow Waste,PJ,PJa,,,
MIN,,MINWODSUPCUR00,Primary Fuel Supply,Biomass/Biofuels,,Domestic supply of current wood in use,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Domestic supply of current wood in use,Domestic supply of current wood in use,PJ,PJa,,,
\I:=+B31,,MINOILWST01,Primary Fuel Supply,Biomass/Biofuels,,Domestic supply of current wood in use,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Domestic supply of current wood in use,Domestic supply of current wood in use,PJ,PJa,,,
PRE,,REF_WODWST,Primary Fuel Supply,Biomass/Biofuels,,Biogas production refinery from WODWST,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Biogas production refinery from WODWST,Biogas production refinery from Forest residues and woody wastes,PJ,GWth,,,
PRE,,REF_AGRWST,Primary Fuel Supply,Biomass/Biofuels,,Biogas production refinery from AGRWST,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Biogas production refinery from AGRWST,"Biogas production refinery from Agricultural wastes (straws, stover, vegetable culls)",PJ,GWth,,,
\I:,,REF_MNCWST,Primary Fuel Supply,Biomass/Biofuels,,Biogas production refinery from MNCWST,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Biogas production refinery from MNCWST,Biogas production refinery from Municipal solid waste,PJ,GWth,,,
PRE,,REF_ANMMNR,Primary Fuel Supply,Biomass/Biofuels,,Biogas production refinery from ANMMNR,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Biogas production refinery from ANMMNR,Biogas production refinery from Animal manure,PJ,GWth,,,
\I:,,SUP_BIGNGA,Primary Fuel Supply,Biomass/Biofuels,,Biogas to natural gas,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Biogas to natural gas,Biogas to natural gas,PJ,GWth,,,
PRE,,CT_CWODPLT,Primary Fuel Supply,Biomass/Biofuels,,Production of wood pellets from wood waste,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Production of wood pellets from wood waste,Production of wood pellets from wood waste,PJ,GWth,,,
\I:,,CT_CWODBDS,Primary Fuel Supply,Biomass/Biofuels,,Production of biodiesel from woodwaste,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Production of biodiesel from woodwaste,Production of biodiesel from woodwaste,PJ,GWth,,,
PRE,,CT_CWODETH,Primary Fuel Supply,Biomass/Biofuels,,Production of bioliquids (ethanol) from woodwaste,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Production of bioliquids (ethanol) from woodwaste,Production of bioliquids (ethanol) from woodwaste,PJ,GWth,,,
PRE,,CT_COILBDS,Primary Fuel Supply,Biomass/Biofuels,,Waste Oil,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Waste Oil,Production of biodiesel from waste oils,PJ,GWth,,,
PRE,,CT_CWODDID,Primary Fuel Supply,Biomass/Biofuels,,Wood,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Wood,Production of drop-in fuels from woodwaste,PJ,GWth,,,
PRE,,WSTWOD2WOD,Primary Fuel Supply,Biomass/Biofuels,,Wood,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Wood,Waste wood to fuel wood,PJ,PJa,,,
MIN,,MINWODSUPOSWOD,Primary Fuel Supply,Biomass/Biofuels,,On-Site wood supply,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- On-Site wood supply,On-Site wood supply,PJ,PJa,,,
MIN,,MINWODWST02,Primary Fuel Supply,Biomass/Biofuels,,Residual woody biomass tranche 2,Primary Fuel Supply -:- Biomass/Biofuels -:-  -:- Residual woody biomass tranche 2,Residual woody biomass tranche 2,PJ,PJa,,,
