Sets,TechName,* Sector,* Subsector,* Technology,* Fuel,TechDesc,* OLD TechDesc,Tact,Tcap,Tslvl,PrimaryCG,Vintage
\I: Process Set Membership,Technology Name,,,,,,Technology Description,Activity Unit,Capacity Unit,Timeslice Operational Level,Operational Commodity Group,Vintage Tracking
DMD,C_EDU-OTH_ELEC-ELC,Commercial,Education,Electronics and Other Appliances,Electricity,Commercial -:- Education -:- Electronics and Other Appliances -:- Electricity,Education Electronics ELC,PJ,GW,,,
DMD,C_EDU-LT_INC-ELC,Commercial,Education,Lights (Incandescent),Electricity,Commercial -:- Education -:- Lights (Incandescent) -:- Electricity,Education Lighting Incandescent ELC,PJ,GW,,,
DMD,C_EDU-LT_FLU-ELC,Commercial,Education,Lights (Fluorescent),Electricity,Commercial -:- Education -:- Lights (Fluorescent)  -:- Electricity,Education Lighting Fluorescent ELC,PJ,GW,,,
DMD,C_EDU-LT_LED-ELC,Commercial,Education,Lights (LED),Electricity,Commercial -:- Education -:- Lights (LED) -:- Electricity,Education Lighting LED ELC,PJ,GW,,,
DMD,C_EDU-SH_Boiler-COA,Commercial,Education,Boiler,Coal,Commercial -:- Education -:- Boiler -:- Coal,Education Boiler Systems COA,PJ,GW,,,
DMD,C_EDU-SH_Boiler-DSL,Commercial,Education,Boiler,Diesel,Commercial -:- Education -:- Boiler -:- Diesel,Education Boiler Systems DSL,PJ,GW,,,
DMD,C_EDU-SH_Boiler-FOL,Commercial,Education,Boiler,Fuel Oil,Commercial -:- Education -:- Boiler -:- Fuel Oil,Education Boiler Systems FOL,PJ,GW,,,
DMD,C_EDU-SH_Boiler-LPG,Commercial,Education,Boiler,LPG,Commercial -:- Education -:- Boiler -:- LPG,Education Boiler Systems LPG,PJ,GW,,,
DMD,C_EDU-SH_Boiler-NGA,Commercial,Education,Boiler,Natural Gas,Commercial -:- Education -:- Boiler -:- Natural Gas,Education Boiler Systems NGA,PJ,GW,,,
DMD,C_EDU-SH_Boiler-WOD,Commercial,Education,Boiler,Wood,Commercial -:- Education -:- Boiler -:- Wood,Education Boiler Systems WOD,PJ,GW,,,
DMD,C_EDU-SH_Boiler-PLT,Commercial,Education,Boiler,Wood,Commercial -:- Education -:- Boiler -:- Wood,Education Boiler Systems PLT,PJ,GW,,,
DMD,C_EDU-SH_Boiler-ELC,Commercial,Education,Boiler,Electricity,Commercial -:- Education -:- Boiler -:- Electricity,Education Boiler Systems ELC,PJ,GW,,,
DMD,C_EDU-SH_Boiler-BIG,Commercial,Education,Boiler,Biogas,Commercial -:- Education -:- Boiler -:- Biogas,Education Boiler Systems BIG,PJ,GW,,,
DMD,C_EDU-SH_Boiler-H2R,Commercial,Education,Boiler,Green Hydrogen,Commercial -:- Education -:- Boiler -:- Green Hydrogen,Education Boiler Systems H2R,PJ,GW,,,
DMD,C_EDU-WH_Boiler-COA,Commercial,Education,Boiler,Coal,Commercial -:- Education -:- Boiler -:- Coal,Education Boiler Systems COA,PJ,GW,,,
DMD,C_EDU-WH_Boiler-DSL,Commercial,Education,Boiler,Diesel,Commercial -:- Education -:- Boiler -:- Diesel,Education Boiler Systems DSL,PJ,GW,,,
DMD,C_EDU-WH_Boiler-FOL,Commercial,Education,Boiler,Fuel Oil,Commercial -:- Education -:- Boiler -:- Fuel Oil,Education Boiler Systems FOL,PJ,GW,,,
DMD,C_EDU-WH_Boiler-LPG,Commercial,Education,Boiler,LPG,Commercial -:- Education -:- Boiler -:- LPG,Education Boiler Systems LPG,PJ,GW,,,
DMD,C_EDU-WH_Boiler-NGA,Commercial,Education,Boiler,Natural Gas,Commercial -:- Education -:- Boiler -:- Natural Gas,Education Boiler Systems NGA,PJ,GW,,,
DMD,C_EDU-WH_Boiler-WOD,Commercial,Education,Boiler,Wood,Commercial -:- Education -:- Boiler -:- Wood,Education Boiler Systems WOD,PJ,GW,,,
DMD,C_EDU-WH_Boiler-PLT,Commercial,Education,Boiler,Wood,Commercial -:- Education -:- Boiler -:- Wood,Education Boiler Systems PLT,PJ,GW,,,
DMD,C_EDU-WH_Boiler-ELC,Commercial,Education,Boiler,Electricity,Commercial -:- Education -:- Boiler -:- Electricity,Education Boiler Systems ELC,PJ,GW,,,
DMD,C_EDU-WH_Boiler-BIG,Commercial,Education,Boiler,Biogas,Commercial -:- Education -:- Boiler -:- Biogas,Education Boiler Systems BIG,PJ,GW,,,
DMD,C_EDU-WH_Boiler-H2R,Commercial,Education,Boiler,Green Hydrogen,Commercial -:- Education -:- Boiler -:- Green Hydrogen,Education Boiler Systems H2R,PJ,GW,,,
DMD,C_EDU-SH_AIRHP-ELC,Commercial,Education,Heat Pump,Electricity,Commercial -:- Education -:- Heat Pump -:- Electricity,Education Heat Pump Air Source (for Heating) ELC,PJ,GW,,,
DMD,C_EDU-SH_GHP-ELC,Commercial,Education,Heat Pump,Electricity,Commercial -:- Education -:- Heat Pump -:- Electricity,Education Heat Pump Ground Source (for Heating) ELC,PJ,GW,,,
DMD,C_EDU-SH_RH-ELC,Commercial,Education,Resistance Heater,Electricity,Commercial -:- Education -:- Resistance Heater -:- Electricity,Education Resistance Heater ELC,PJ,GW,,,
DMD,C_EDU-WH_AIRHP-ELC,Commercial,Education,Heat Pump,Electricity,Commercial -:- Education -:- Heat Pump -:- Electricity,Education Heat Pump Air Source (for Heating) ELC,PJ,GW,,,
DMD,C_EDU-WH_GHP-ELC,Commercial,Education,Heat Pump,Electricity,Commercial -:- Education -:- Heat Pump -:- Electricity,Education Heat Pump Ground Source (for Heating) ELC,PJ,GW,,,
DMD,C_EDU-WH_Cylinder-ELC,Commercial,Education,Hot Water Cylinder,Electricity,Commercial -:- Education -:- Hot Water Cylinder -:- Electricity,Education Hot Water Cylinder ELC,PJ,GW,,,
DMD,C_EDU-WH_Cylinder-NGA,Commercial,Education,Hot Water Cylinder,Natural Gas,Commercial -:- Education -:- Hot Water Cylinder -:- Natural Gas,Education Hot Water Cylinder NGA,PJ,GW,,,
DMD,C_EDU-WH_Cylinder-LPG,Commercial,Education,Hot Water Cylinder,LPG,Commercial -:- Education -:- Hot Water Cylinder -:- LPG,Education Hot Water Cylinder LPG,PJ,GW,,,
DMD,C_EDU-WH_Instant-NGA,Commercial,Education,Instantaneous Water Heater,Natural Gas,Commercial -:- Education -:- Instantaneous Water Heater  -:- Natural Gas,Education Instant NGA,PJ,GW,,,
DMD,C_EDU-WH_Instant-LPG,Commercial,Education,Instantaneous Water Heater,LPG,Commercial -:- Education -:- Instantaneous Water Heater  -:- LPG,Education Instant LPG,PJ,GW,,,
DMD,C_EDU-WH_Instant-ELC,Commercial,Education,Instantaneous Water Heater,Electricity,Commercial -:- Education -:- Instantaneous Water Heater  -:- Electricity,Education Instant ELC,PJ,GW,,,
DMD,C_EDU-MPM_-DSL,Commercial,Education,Mobile Motor,Diesel,Commercial -:- Education -:- Mobile Motor -:- Diesel,Education Motive power - mobile DSL,PJ,GW,,,
DMD,C_EDU-MPM_-PET,Commercial,Education,Mobile Motor,Petrol,Commercial -:- Education -:- Mobile Motor -:- Petrol,Education Motive power - mobile PET,PJ,GW,,,
DMD,C_EDU-MPM_-LPG,Commercial,Education,Mobile Motor,LPG,Commercial -:- Education -:- Mobile Motor -:- LPG,Education Motive power - mobile LPG,PJ,GW,,,
DMD,C_EDU-MPM_-ELC,Commercial,Education,Mobile Motor,Electricity,Commercial -:- Education -:- Mobile Motor -:- Electricity,Education Motive power - mobile ELC,PJ,GW,,,
