TimeSlice,LimType,Attribute,Year,Attrib_Cond,AllRegions,Pset_Set,Pset_PN,Pset_PD,Pset_CI,Pset_CO,Cset_Set,Cset_CN,Cset_CD
,,ACT_COST,,,0.00248362891109477,,TU_PET*,,,,,,
,,ACT_COST,,,0.00538337115666179,,TU_LPG*,,,,,,
,,ACT_COST,,,0.00252841765861999,,TU_DSL*,,,,,,
,,ACT_COST,,,0.00261893423255859,,TU_FOL*,,,,,,
,,ACT_COST,,,0.00252841765861999,,TU_DID*,,,,,,
,,ACT_COST,,,0.00252841765861999,,TU_DIJ*,,,,,,
,,ACT_COST,,,0.00251030880245087,,TU_JET*,,,,,,
,,ACT_COST,,,0.0025,,TU_OTH*,,,,,,
,,ACT_COST,,,0.000188040616773223,,TU_COA*,,,,,,
,,ACT_COST,,,0.000327439423706614,,TU_COL*,,,,,,
