TimeSlice,Attribute,Cset_CN,*2015,*2016,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
\I:,Demand,AGR,9.963,10.241964,10.241964,10.85967,12.75264,15.44265,17.53488,19.82637,17.9334,16.14006,14.64561,13.25079
\I:,Demand,CCK,0.2,0.2056,0.2056,0.218,0.254,0.31,0.35,0.396,0.454,0.518,0.592,0.676
\I:,Demand,CCL,2.53,2.60084,2.60084,2.7577,3.2131,3.9215,4.4275,5.0094,5.7431,6.5527,7.4888,8.5514
\I:,Demand,CH,5.67,5.82876,5.82876,6.1803,7.2009,8.7885,9.9225,11.2266,12.8709,14.6853,16.7832,19.1646
\I:,Demand,CHW,1.2,1.2336,1.2336,1.308,1.524,1.86,2.1,2.376,2.724,3.108,3.552,4.056
\I:,Demand,CL,0.62,0.63736,0.63736,0.6758,0.7874,0.961,1.085,1.2276,1.4074,1.6058,1.8352,2.0956
\I:,Demand,CMotS,0.76,0.78128,0.78128,0.8284,0.9652,1.178,1.33,1.5048,1.7252,1.9684,2.2496,2.5688
\I:,Demand,CMotT,0.14,0.14392,0.14392,0.1526,0.1778,0.217,0.245,0.2772,0.3178,0.3626,0.4144,0.4732
\I:,Demand,COTH,0.98,1.00744,1.00744,1.0682,1.2446,1.519,1.715,1.9404,2.2246,2.5382,2.9008,3.3124
\I:,Demand,CRF,2.79,2.86812,2.86812,3.0411,3.5433,4.3245,4.8825,5.5242,6.3333,7.2261,8.2584,9.4302
\I:,Demand,ICHEM,0,0,0,0,0,0,0,0,0,0,0,0
\I:,Demand,IFOOD,10.65,10.9482,10.9482,12.5692190721706,14.7042085240941,17.8899179783339,20.2408001286266,22.9006075010058,20.1776266444496,17.7784199386379,15.6644892426683,13.8019140103893
\I:,Demand,IMET,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41,6.41
\I:,Demand,IMETH,,,0,,,,,,,,,
\I:,Demand,IOTH,8.53,8.76884,8.76884,10.0671773413724,11.7771735878425,14.3287324277172,16.2116455490315,18.3419889186459,19.2776146923197,20.2609667835834,21.2944797142885,22.3807121913677
\I:,Demand,IWOD,16.33,16.78724,16.78724,19.2728025773283,22.5464530702776,27.4312075667786,31.0358935305608,35.1142648348755,40.7070568611753,47.1906356602165,54.706880470626,63.4202682154258
\I:,Demand,RCD,0.07,0.0711554379649108,0.0711554379649108,0.0757771898245538,0.0826625750905424,0.0890618724382469,0.0943812105571339,0.096895144325649,0.0991054629047299,0.100840623712346,0.101391685281169,0.101942746849992
\I:,Demand,RCK,0.18,0.182971126195485,0.182971126195485,0.194855630977424,0.21256090737568,0.229016243412635,0.24269454143263,0.249158942551669,0.254842618897877,0.259304460974605,0.260721476437293,0.26213849189998
\I:,Demand,RCL,0.07,0.0711554379649108,0.0711554379649108,0.0757771898245538,0.0826625750905424,0.0890618724382469,0.0943812105571339,0.096895144325649,0.0991054629047299,0.100840623712346,0.101391685281169,0.101942746849992
\I:,Demand,RH,4.94,4.9902503462483,4.9902503462483,5.5191129060416,6.02059915503777,6.74614923010673,7.14907191489857,7.33949427962896,7.48892294084101,7.63835160205305,7.68009273635083,7.72183387064862
\I:,Demand,RHW,3.47,3.52727671054629,3.52727671054629,3.75638355273145,4.09770193663117,4.41492424801024,4.67861143761792,4.80323072585717,4.91279937542018,4.99881377545488,5.02613068465225,5.05344759384962
\I:,Demand,RL,0.69,0.701389317082692,0.701389317082692,0.746946585413459,0.814816811606775,0.877895599748433,0.930329075491748,0.955109279781397,0.976896705775194,0.994000433735985,0.999432326342955,1.00486421894993
\I:,Demand,ROTH,3.92,3.984704526035,3.984704526035,4.24352263017501,4.62910420507037,4.98746485654182,5.2853477911995,5.42612808223634,5.54990592266487,5.64707492789139,5.67793437574548,5.70879382359958
\I:,Demand,RRF,5.39,5.47896872329813,5.47896872329813,5.83484361649064,6.36501828197176,6.85776417774501,7.26735321289931,7.46092611307497,7.6311206436642,7.76472802585066,7.80715976665004,7.84959150744942
\I:,Demand,Rmot,0.05,0.0508253128320791,0.0508253128320791,0.0541265641603956,0.0590446964932446,0.0636156231701763,0.0674151503979528,0.0692108173754636,0.0707896163605213,0.0720290169373902,0.0724226323436924,0.0728162477499946
,Demand,T_P_Car,8.121135,8.52096969629585,9.3206,9.32063908888756,9.89846343389199,10.8042686127487,12.0541698995585,13.1989595476026,13.9839339900154,14.88201418939,15.8434714671635,16.6847531495145
,Demand,T_C_Car,2.2121777972028,2.35779127652355,2.649,2.64901823516507,2.95214052158755,3.30943629134294,3.82613754306944,4.35514990239078,4.8201926654253,5.35815577498378,5.93883472866539,6.49384707622972
,Demand,T_F_MTrk,0.244466585909418,0.252322651321442,0.268,0.268034782145489,0.267077798782449,0.28526398852097,0.306291560091565,0.3217136397837,0.325783411745802,0.332467804140984,0.338529084599746,0.338867340291825
,Demand,T_F_HTrk,0.18,0.18,0.19,0.21,0.22,0.24,0.25,0.25,0.26,0.26,0.26,0.26
,Demand,T_F_VHTrk,0.4,0.42,0.44,0.46,0.5,0.53,0.56,0.57,0.57,0.59,0.59,0.59
,Demand,T_P_Mcy,0.11165,0.112988729768009,0.1156,0.115666189304028,0.121258121534307,0.128843379432205,0.136560769289977,0.140038767703736,0.137480942186228,0.138660591208419,0.143355125628508,0.14648112924241
,Demand,T_P_Bus,0.086125,0.0910414358937484,0.1008,0.100874307681245,0.114388725535639,0.130779425725091,0.153246699085589,0.176645749906926,0.19935821977507,0.22492317205148,0.25109754267132,0.276832031078555
,Demand,T_F_DSHIP,3.8910573447709,3.39496408834203,2.4027,2.4027775754843,2.49277596301383,2.5861048144441,2.68292787258951,2.78337595959541,2.88758479555258,2.9956951818749,3.10785319154279,3.22421036646913
,Demand,T_F_ISHIP,3.0599396,3.0054238,2.8963,2.8963924,2.72614778815766,2.98185003631011,3.36007294211539,3.84301214433346,4.14721845799086,4.45367349390343,4.69013196765748,4.93914470922812
,Demand,T_O_JET,4.22020679991297,4.65305689721153,5.5187,5.51875709180864,6.0397063105684,6.79626524258106,7.78398797024888,8.72988253603247,10.3899443292547,11.6763680782383,13.1220694912311,14.7467694217017
,Demand,T_O_JET_Int,8.07133244572499,9.1905635634313,11.429,11.4290257988439,12.2966957103476,13.7758212345894,15.8844852972052,18.1654213918223,20.7931910908194,23.2653937575854,25.0863558535354,27.0498430659496
,Demand,T_F_Rail,0.5655245252894,0.518474220125731,0.4243,0.424373609798393,0.400986262551643,0.413369464143174,0.439194096291371,0.460444615063102,0.478645724917189,0.489577697634152,0.495663578926366,0.50174946021858
,Demand,T_P_Rail,0.025286744,0.0216904789059829,0.0144,0.0144979487179487,0,0,0,0,0,0,0,0
