TechName,Comm-IN,Comm-OUT,Share-I~UP,STOCK,EFF,LIFE,INVCOST,FIXOM,VAROM
*Technology Name,Input Commodity,Output Commodity,Input Share,Existing Installed Capacity,Efficiency,Lifetime,Capital costs,Fixed  O&M,Variable O&M
*Units,,,,Milion NZD (2015)a,,Years,MNZD/Pja,MNZD/Pja,MNZD/PJ
FTE_ELCCOA,COA,ELCCOA,,,1,100,,,
FTE_ELCCOL,COL,ELCCOL,,,1,100,,,
FTE_ELCOIL,DSL,ELCOIL,1,,1,100,,,
,FOL,,0,,,,,,
FTE_ELCNGA,NGA,ELCNGA,,,1,100,,,0.746
FTE_ELCHYD,HYD,ELCHYD,,,1,100,,,
FTE_ELCGEO,GEO,ELCGEO,,,1,100,,,
FTE_ELCSOL,SOL,ELCSOL,,,1,100,,,
FTE_ELCWIN,WIN,ELCWIN,,,1,100,,,
FTE_ELCBIL,BIL,ELCBIL,,,1,100,,,
FTE_ELCBIG,BIG,ELCBIG,,,1,100,,,
FTE_ELCWOD,WOD,ELCWOD,,,1,100,,,
FTE_ELCTID,TID,ELCTID,,,1,100,,,
