,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"5,641,757","4,660,871","5,627,950","7,250,482","7,851,840","7,210,193"
Auckland,"2,141,341","1,709,527","1,172,381","844,720","1,164,498","1,923,972"
Waikato,"6,282,173","6,236,192","4,234,963","2,912,301","3,629,586","4,998,229"
Bay of Plenty,"13,578,553","12,957,309","12,758,790","13,680,844","12,644,000","12,343,190"
Gisborne,"5,618,725","3,102,834","2,648,917","3,100,246","4,801,438","6,865,999"
Hawkes Bay,"6,754,315","4,628,269","3,526,000","3,066,363","4,836,127","7,421,811"
Taranaki,"801,039","319,905","175,424","219,158","649,177","1,086,578"
Manawatu-Wanganui,"2,255,307","1,158,893","761,718","700,728","1,539,951","2,697,356"
Wellington,"464,109","239,076","168,776","126,529","295,288","562,568"
Wairarapa,"3,433,100","1,810,804","1,394,664","1,895,242","3,209,494","4,331,213"
Tasman-Nelson,"2,941,480","3,178,737","2,985,391","2,560,626","2,598,292","2,785,800"
Marlborough,"2,445,403","1,483,716","1,659,598","1,984,408","2,567,102","3,203,979"
West Coast,"205,145","232,870","224,569","229,939","244,872","211,778"
Canterbury,"2,848,933","1,618,946","1,134,544","1,117,582","2,082,325","3,329,275"
Otago,"4,259,580","2,919,173","2,391,488","2,834,728","4,037,392","4,934,560"
Southland,"2,885,391","1,974,894","1,365,330","1,350,669","1,963,771","2,888,928"
NZ Total,"62,556,351","48,232,017","42,230,503","43,874,563","54,115,155","66,795,429"
