,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Whangarei,"277,412","249,671","235,800","277,412","277,412","277,412"
Auckland,"11,162","10,046","9,488","11,162","11,162","11,162"
Tauranga,"552,056","496,850","469,247","552,056","552,056","552,056"
Gisborne,"235,670","212,103","200,320","235,670","235,670","235,670"
Napier,"118,856","106,971","101,028","118,856","118,856","118,856"
New Plymouth,"33,006","29,705","28,055","33,006","33,006","33,006"
Wellington,"104,895","94,405","89,161","104,895","104,895","104,895"
Nelson,"68,100","61,290","57,885","68,100","68,100","68,100"
Picton,"67,406","60,666","57,295","67,406","67,406","67,406"
Christchurch,"53,721","48,349","45,663","53,721","53,721","53,721"
Timaru,"35,716","32,145","30,359","35,716","35,716","35,716"
Dunedin,"89,672","80,705","76,221","89,672","89,672","89,672"
Invercargill,"48,908","44,017","41,572","48,908","48,908","48,908"
Total,"1,696,581","1,526,923","1,442,094","1,696,581","1,696,581","1,696,581"
