,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"1,569,019","1,008,227","1,070,615","1,527,583","1,954,446","1,630,070"
Auckland,"548,844","450,417","311,946","215,879","187,651","365,345"
Waikato,"1,961,248","1,751,072","1,281,479","970,478","1,140,801","1,686,522"
Bay of Plenty,"4,595,679","4,762,639","4,259,427","4,706,874","4,717,220","4,971,602"
Gisborne,"2,321,262","1,079,557","858,666","949,382","957,330","1,266,589"
Hawkes Bay,"1,535,321","1,103,140","882,967","706,128","823,976","1,131,257"
Taranaki,"320,741","112,103","60,120","49,369","83,193","129,070"
Manawatu-Wanganui,"902,820","415,863","245,286","199,148","201,752","380,718"
Wellington,"165,243","70,564","45,869","36,350","25,451","51,270"
Wairarapa,"1,112,108","552,302","369,441","403,445","553,337","752,198"
Tasman-Nelson,"882,492","844,221","861,372","750,556","697,421","851,891"
Marlborough,"960,709","464,723","409,031","567,802","567,560","464,547"
West Coast,"84,447","84,096","113,447","118,966","106,423","70,646"
Canterbury,"868,636","565,561","497,369","432,395","375,475","449,615"
Otago,"1,102,696","765,668","1,008,327","1,014,056","853,644","895,997"
Southland,"696,399","623,992","808,205","741,004","480,232","520,519"
NZ Total,"19,627,664","14,654,143","13,083,565","13,389,415","13,725,908","15,617,856"
