,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"11,487","106,572","49,905","19,447","11,229","11,487"
Auckland,"1,264","27,927","14,236","7,078","3,152","1,264"
Waikato,"24,106","125,649","66,062","21,237","10,927","24,106"
Bay of Plenty,"56,958","203,964","213,976","161,460","93,027","56,958"
Gisborne,"39,203","189,659","88,291","49,302","46,070","39,203"
Hawkes Bay,"63,727","174,824","98,347","71,183","58,007","63,727"
Taranaki,"2,310","34,416","11,763","3,642","2,491","2,310"
Manawatu-Wanganui,"8,167","91,578","39,443","14,367","8,916","8,167"
Wellington,"28,515","71,146","34,010","27,898","27,916","28,515"
Wairarapa,519,"11,051","5,898","2,764",886,519
Tasman-Nelson,"3,806","43,804","17,918","3,566","4,151","3,806"
Marlborough,"12,333","77,462","28,853","12,725","12,867","12,333"
West Coast,131,"15,830","14,061","6,751",817,131
Canterbury,"4,151","66,886","25,730","11,105","6,871","4,151"
Otago,"48,591","119,472","63,640","25,120","26,630","48,591"
Southland,"11,316","50,947","30,778","19,320","18,056","11,316"
NZ Total,"316,583","1,411,188","802,909","456,965","332,013","316,583"
