,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"7,242","10,105","159,040","219,080","74,131","11,228"
Auckland,"4,042","2,161","59,310","95,576","50,721","16,336"
Waikato,"8,533","6,989","120,361","206,786","115,056","30,174"
Bay of Plenty,"110,424","33,009","245,241","464,714","505,161","363,103"
Gisborne,982,196,"56,307","72,362","21,417","6,147"
Hawkes Bay,"46,707","97,540","220,034","195,418","49,261","23,045"
Taranaki,"7,130","5,081","74,187","109,358","46,455","13,333"
Manawatu-Wanganui,"28,603","26,890","288,271","395,748","170,043","64,278"
Wellington,"2,667","11,059","36,069","38,539","17,347","6,484"
Wairarapa,"2,975","1,010","24,224","42,244","24,532","8,477"
Tasman-Nelson,"1,388","1,509","43,623","52,411","13,803","4,893"
Marlborough,"14,168","13,924","92,675","117,797","39,022","14,143"
West Coast,"2,678",487,"6,281","7,522","1,339","2,288"
Canterbury,"2,459",925,"144,087","188,684","60,371","17,308"
Otago,"2,361","11,514","76,803","81,866","20,473","6,256"
Southland,"5,453","4,674","42,966","85,931","50,220","8,033"
NZ Total,"247,811","227,076","1,689,477","2,374,035","1,259,351","595,528"
