TechName,*TechDesc,Comm-IN,Comm-OUT,EFF,AFA,AFA~LO,NCAP_LIFE,CAP2ACT,NCAP_PASTI,*NCAP_PASTI,ACT_BND,INVCOST,FIXOM,NCAP_BND,NCAP_BND~0,FLO_MARK,FLO_MARK~2030,FLO_MARK~2050,FLO_MARK~0
\I: Technology Name,Technology Description,Input Commodity,Output Commodity,Efficiency,Annual Availability Factor,Annual Availability Factor,Lifetime of Process,Capacity to Activity Factor,Existing Installed Capacity in Pja,,Bound on activity of a process,Investment cost,O&M costs,Limit on new capacity,"Limit on new capacity, interpolation",,,,
R_DDW-SH_Burner-WOD00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESWOD,R_DDW-SH,0.6,0.0821,0.061575,20,31.536,1.02822376286729,,2.66217990249277,373,,,,0.15,,,5
R_DDW-SH_Burner-NGA00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESNGA,R_DDW-SH,0.8,0.0821,0.061575,20,31.536,0.537841879631641,,1.39252942246881,1260,150,,,,,,
R_DDW-SH_Burner-LPG00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESLPG,R_DDW-SH,0.8,0.0821,0.061575,20,31.536,0.208636268823961,,0.540181331975223,1260,150,,,,,,
R_DDW-SH_Burner-DSL00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESDSL,R_DDW-SH,0.8,0.0045,0.003375,5,31.536,0.349423709447586,,0.0495874174551258,,,0,5,,,,
R_DDW-SH_Burner-COA00,Detached dwellings - Heat/Cooling Devices - Burner (Direct Heat),RESCOA,R_DDW-SH,0.6,0.0045,0.003375,5,31.536,0.228849609512578,,0.032476505785149,,,0,5,,,,
R_DDW-SH_OF-WOD00,Detached dwellings - Heat/Cooling Devices - Open Fire,RESWOD,R_DDW-SH,0.06,0.0821,0,50,31.536,0.00315924818736099,,0.00817962717368618,,,0,5,,,,
R_DDW-SH_OF-COA00,Detached dwellings - Heat/Cooling Devices - Open Fire,RESCOA,R_DDW-SH,0.06,0.0821,0,50,31.536,0.00241913397850036,,0.00626339333088556,,,0,5,,,,
R_DDW-SH_OFWB-COA00,"Detached dwellings - Heat/Cooling Devices - Open Fire, with Wetback",RESCOA,R_DDW-SH,0.06,0.0821,0,50,31.536,0.000286533212957856,,0.000741864746255177,,,0,5,,,,
R_DDW-SH_HP-ELC00,Detached dwellings - Heat/Cooling Devices - Heat Pump (for Heating),RESELC,R_DDW-SH,3.75,0.0821,0.061575,12,31.536,4.14017532823776,,10.7193511273222,557.906976744186,,,,,,,
R_DDW-SH_RH-ELC00,Detached dwellings - Heat/Cooling Devices - Resistance Heater,RESELC,R_DDW-SH,1,0.0821,0.061575,5,31.536,0.918161016705594,,2.37721583005415,24,,,,,,,
R_DDW-WH_OFWB-COA00,"Detached dwellings - Heat/Cooling Devices - Open Fire, with Wetback",RESCOA,R_DDW-WH,0.16,0.1666,0,50,31.536,0.00042919737970399,,0.00225495908315308,,,0,5,,,,
R_DDW-WH_HWC-SOL00,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESSOL,R_DDW-WH,0.6,0.125,,20,31.536,0.0346320964356062,,0.13651972414916,2121,,0,5,,,,
R_DDW-WH_HWC-ELC00,Detached dwellings - Heat/Cooling Devices - Hot Water Cylinder,RESELC,R_DDW-WH,1,0.125,0.09375,20,31.536,2.39650174910587,,9.44700989497536,757.5,,,,,,,
R_DDW-WH_Gasheat-NGA00,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,RESNGA,R_DDW-WH,0.8,0.042,0.0315,20,31.536,2.33242336305446,,3.08932273344598,250,150,,,,,,
R_DDW-WH_Gasheat-LPG00,Detached dwellings - Heat/Cooling Devices - Gas Water Heater,RESLPG,R_DDW-WH,0.8,0.042,0.0315,20,31.536,0.868517405960461,,1.1503617264035,250,150,,,,,,
R_DDW-WH_BRNWB-WOD00,"Detached dwellings - Heat/Cooling Devices - Burner, with Wetback",RESWOD,R_DDW-WH,0.16,0.1666,0,20,31.536,0.00194460068941461,,0.0102167328950737,,,0,5,,,,
R_DDW-CK_Oven-COA00,Detached dwellings - Heat/Cooling Devices - Cooking Ovens,RESCOA,R_DDW-CK,0.15,0.0416,0,13,31.536,0.00013733316337229,,0.000180167047428515,,,0,5,,,,
