TimeSlice,Attribute,Cset_CN,*2018,2020,2025,2030,2035,2040,2045,2050,2055,2060
,Demand,ADCF-MoTP-Stat,0.604259300435732,0.592960515531926,0.576218692452126,0.557864597997915,0.5382427683452,0.517528797886215,0.497611992939542,0.478461675038428,0.460048346359674,0.44234364428723
,Demand,ADCF-IRG,0.147161369920551,0.140099215343676,0.130752460249775,0.120353043573523,0.110400801852234,0.100923962629552,0.0922606182379373,0.084340938027675,0.0771010856337738,0.0704827044246996
,Demand,ADCF-WH,1.23360020135747,1.21053364148428,1.17635507558147,1.1388850447551,1.09882692236768,1.05653918577729,1.0158788689648,0.976783341594611,0.939192383624428,0.903048092546423
,Demand,ADCF-MoTP-Mob-Trac,0.213283009333704,0.206155550914604,0.196338313349066,0.185356185975031,0.174388184036251,0.163506093370621,0.153303061885001,0.143736715243049,0.134767323332129,0.126357635259687
,Demand,ADCF-MoTP-Mob-MTr,0.0686446415931673,0.0663506856415058,0.0631910305136708,0.0596564583043034,0.0561264323334924,0.0526240567065724,0.0493402347008617,0.0462613282345462,0.0433745502630745,0.0406679116731252
,Demand,ADCF-MoTP-Mob-Uti,0.0630708327601095,0.0609631414847471,0.0580600440903667,0.0548124721383305,0.0515690772792913,0.0483510876110265,0.0453339054431359,0.0425050000790159,0.0398526227567869,0.0373657578553647
,Demand,ADCF-MoTP-Mob-Bike,0.0393518531015,0.0380367989976983,0.0362254662912232,0.0341992052003135,0.0321755503275687,0.0301677465430626,0.0282852328000953,0.0265201908075421,0.0248652901476586,0.0233136578320324
,Demand,ADCF-PUMP,0.531264048900419,0.52133017082635,0.506610780146,0.490473882415814,0.473222393426536,0.455010695556254,0.437499864643929,0.420662928218557,0.404473951829522,0.388907999098965
,Demand,ADCF-RFGR,2.00496046788605,1.96747057397636,1.91192042619852,1.85102068700046,1.78591454344103,1.717184625882,1.65109974057551,1.58755809494176,1.52646181383119,1.46771678876438
,Demand,ADCF-LIG,0.00701971050597955,0.00688845195681554,0.00669396136101044,0.00648074092803563,0.00625279315187334,0.00601215792135784,0.00578078340245694,0.00555831320188848,0.00534440464196545,0.00513872823275909
,Demand,ALIVE-IRG,0.044328870625555,0.0416569149980712,0.0399917077031621,0.0359224372683787,0.0322672267180671,0.0285758904353699,0.0249495477777645,0.0217833958918206,0.0190190355675579,0.0166054785817786
,Demand,ALIVE-MoTP-Mob-Trac,0.0898003228893245,0.0856791654784843,0.0839370940506954,0.077329392012177,0.0712418619753659,0.064709525260633,0.0579463306630878,0.0518899995602141,0.0464666532556514,0.0416101345746866
,Demand,ALIVE-MoTP-Mob-MTr,0.00561983829641552,0.00536193011192557,0.00525290868071039,0.00483938882050749,0.00445842210089319,0.00404961871518843,0.00362636789845987,0.00324735365471768,0.00290795254482781,0.00260402435401072
,Demand,ALIVE-MoTP-Mob-Uti,0.0103270371322723,0.0098531040300257,0.00965276581582997,0.00889288008140036,0.00819281412716708,0.0074415954049728,0.0066638280262551,0.00596734994942463,0.00534366512439991,0.00478516547608896
,Demand,ALIVE-MoTP-Mob-Bike,0.0165395891843009,0.0157805468073248,0.0154596888769936,0.0142426701219046,0.0131214576059981,0.0119183197753206,0.0106726621137691,0.0095571958750888,0.00855831394465058,0.00766383137193158
,Demand,ALIVE-LIG,0.0251086977649315,0.0243212099686712,0.0243117053451779,0.0229691815396905,0.0217007936346968,0.0202138016469474,0.0185628714518182,0.017046778362385,0.0156545097718606,0.0143759525106532
,Demand,AHORT-IRG,0.116908327778471,0.112501234470865,0.107114828085883,0.0941619559939136,0.0883448977685472,0.0829000592679228,0.0778028751159627,0.07303044317784,0.0677150320895683,0.0627864952116656
,Demand,AHORT-MoTP-Mob-Trac,0.107475849424601,0.105007330490887,0.102025276744626,0.0919874284743037,0.0885175326591816,0.0851917400622206,0.0820036369998684,0.0789471079051107,0.0750779140861419,0.071398349263168
