TechName,Comm-IN,Comm-OUT,Share-I~UP,Share-I~UP~2020,Share-I~UP~2060,EFF,LIFE,VAROM
*Technology Name,Input Commodity,Output Commodity,,,,Efficiency,Lifetime,$/GJ
*Units,,,,,,,Years,
FTE_TRAH2R,H2R,TRAH2R,,,,1,100,
FTE_TRAH2D,H2D,TRAH2R,,,,1,100,29
FTE_INDH2R,H2R,INDH2R,,,,1,100,
FTE_INDH2D,H2D,INDH2R,,,,1,100,29
FTE_ELCH2R,H2R,ELCH2R,,,,1,100,
FTE_COMH2R,H2R,COMH2R,,,,1,100,
FTE_COMH2D,H2D,COMH2R,,,,1,100,29
FTE_RESH2R,H2R,RESH2R,,,,1,100,
FTE_RESH2D,H2D,RESH2R,,,,1,100,29
FTE_AGRH2R,H2R,AGRH2R,,,,1,100,
FTE_AGRH2D,H2D,AGRH2R,,,,1,100,29
