,2024-2028,2029-2033,2034-2038,2039-2043,2044-2048,2049-2053
Northland,"32,601","33,253","33,918","34,596","35,288","35,994"
Auckland,"71,778","73,213","74,677","76,171","77,694","79,248"
Waikato,"326,896","333,434","340,103","346,905","353,843","360,920"
Bay of Plenty,"185,704","189,418","193,206","197,070","201,012","205,032"
Gisborne,"157,316","160,463","163,672","166,945","170,284","173,690"
Hawkes Bay,"161,402","164,630","167,922","171,281","174,706","178,200"
Taranaki,"7,826","7,982","8,142","8,305","8,471","8,640"
Manawatu-Wanganui,"335,138","341,841","348,678","355,652","362,765","370,020"
Wellington,"29,829","30,426","31,034","31,655","32,288","32,934"
Wairarapa,"44,752","45,647","46,560","47,491","48,441","49,410"
Tasman-Nelson,-,-,-,-,-,-
Marlborough,"35,508","36,218","36,943","37,682","38,435","39,204"
West Coast,-,-,-,-,-,-
Canterbury,"4,606,895","4,699,033","4,793,014","4,888,874","4,986,652","5,086,385"
Otago,"457,003","466,143","475,465","484,975","494,674","504,568"
Southland,"293,647","299,520","305,510","311,620","317,853","324,210"
NZ Total,"6,746,294","6,881,220","7,018,845","7,159,222","7,302,406","7,448,454"
