TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,CEFF,CEFF~2030,CEFF~2050,AFA,AFA~2050,Life,INVCOST,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,CAP2ACT,Share
\I:Technology Name,Technology Description,Fuel,Demand,Starting Year,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Annual Availability Factor,,Lifetime of Process,Investment Cost,Investment Cost,Investment Cost,Investment Cost,,Fixed O&M Cost,,Fuel input share
T_P_CICEPET,ICE,TRAPET,T_P_CAR,2020,0.295742265894038,0.327801174221684,0.391021297093008,,,,0.14,0.17,18.893708933,33.8572530637795,35.211088115725,36.2918808042529,36.5194161071009,5,1.38367610709503,0.08,
T_P_CICEDSL,ICE,TRADSL,T_P_CAR,2020,0.27102281432564,0.298807908590025,0.353387233436855,,,,0.14,0.17,19.957648846,40.9821610282072,42.5384456242151,43.8353494542216,44.2244206032236,5,1.34308666666667,0.08,
T_P_CHYBPET,HYB,TRAPET,T_P_CAR,2020,0.409739656052812,0.471873989591361,0.54536333887959,,,,0.14,0.17,18.893708933,38.4943273070229,37.3348596170523,37.3348596170523,37.3348596170523,5,1.13302870436116,0.08,
T_P_CHYBDSL,HYB,TRADSL,T_P_CAR,2020,0.375491796509197,0.430137812296155,0.492874539001652,,,,0.14,0.17,18.893708933,46.5950594809661,45.6385626587761,45.7752050619461,45.9118474651161,5,1.09979187902069,0.08,
T_P_CBEVELC,BEV,TRAELC,T_P_CAR,2020,1.40799261532579,1.40263742791181,1.57301336760732,,,,0.14,0.17,18.893708933,54.2843380313582,38.0078639606483,38.0078639606483,38.0078639606483,5,1.23916524955665,0.08,
T_P_CFCH2R,FC,TRAH2R,T_P_CAR,2020,0.735294117647059,,,,,,0.14,0.17,18.893708933,74.5,43.431586824559,41.0890025414265,39.5946694239566,5,1.26178058877254,0.08,
T_P_CPHEVPET,PHEV,,T_P_CAR,2020,,,,,,,0.14,0.17,18.893708933,54.0200990243748,48.7629106726118,42.0918542035946,41.4052622035946,5,1.21513296486487,0.08,
,,TRAPET,,,,,,0.295742265894038,0.327801174221684,0.391021297093008,,,,,,,,,,,0
,,TRAELC,,,,,,1.40799261532579,1.40263742791181,1.57301336760732,,,,,,,,,,,0
T_P_CPHEVDSL,PHEV,,T_P_CAR,2020,,,,,,,0.14,0.17,18.893708933,65.3880689259169,58.9103755415894,50.8408794832837,50.1411009833336,5,1.17948765247058,0.08,
,,TRADSL,,,,,,0.27102281432564,0.298807908590025,0.353387233436855,,,,,,,,,,,0
,,TRAELC,,,,,,1.40799261532579,1.40263742791181,1.57301336760732,,,,,,,,,,,0
T_C_CICEPET,ICE,TRAPET,T_C_Car,2020,0.224465495704546,0.260491452027035,0.319752152791742,,,,0.18,0.21,22.051404093,33.8966666666667,35.2520777329749,36.3341285842294,36.5619287634409,5,1.34308666666667,0.08,
T_C_CICEDSL,ICE,TRADSL,T_C_Car,2020,0.242329128781387,0.260051352178533,0.289453469621292,,,,0.18,0.21,15.784552846,50.4003390834807,53.296910295175,54.8417482747453,56.3865862543155,5,1.53961127372657,0.08,
T_C_CHYBPET,HYB,TRAPET,T_C_Car,2020,0.320800575407661,0.370151401023418,0.405227940602245,,,,0.18,0.21,22.051404093,38.5391389793411,37.6827136686891,38.2536638757904,38.5391389793411,5,1.09979187902069,0.08,
T_C_CHYBDSL,HYB,TRADSL,T_C_Car,2020,0.346330841215038,0.369526030884607,0.366829847338686,,,,0.18,0.21,22.051404093,57.3031469921579,56.9717400855566,57.7390427845129,59.4358820150264,5,1.26071683809919,0.08,
T_C_CBEVELC,BEV,TRAELC,T_C_Car,2020,1.32866359320443,1.15239602964443,1.25227260001938,,,,0.18,0.21,22.051404093,63,46.291,46.291,46.291,5,1.36467464926093,0.08,
T_C_CFCH2R,FC,TRAH2R,T_C_Car,2020,0.735294117647059,,,,,,0.18,0.21,22.051404093,97.2839673289709,58.8593590627639,55.9003052314386,54.0127265567398,5,1.69265524733082,0.08,
T_C_CPHEVPET,PHEV,,T_C_Car,2020,,,,,,,0.18,0.21,22.051404093,77.3755,58.990468066882,58.990468066882,58.990468066882,5,1.28065103502984,0.08,
,,TRAPET,,,,,,0.224465495704546,0.260491452027035,0.319752152791742,,,,,,,,,,,0
,,TRAELC,,,,,,1.32866359320443,1.15239602964443,1.25227260001938,,,,,,,,,,,0
