TechName,LimType,Comm-IN,Comm-OUT,PASTI~1970,PASTI~2000,PASTI~2005,PASTI~2015,NCAP_PASTI~2018,*RESID~2018,*RESID~2016,*RESID~2035,*Share-I,Share-I~2018,Share-I~0,EFF~2018,*AFA,AFA~2018,*ACT_BND~2015,ACT_BND~2018,ACT_BND~FX~2018,ACT_BND~0,FIXOM,VAROM,LIFE,CAP2ACT,Peak,NCAP_BND,NCAP_BND~2021,NCAP_BND~0,ENV_ACT~ELCCO2
*Technology Name,,Input Commodity,Output Commodity,Past Investment Capacity,Past Investment Capacity,Past Investment Capacity,Past Investment Capacity,Past Investment Capacity,Existing Installed Capacity,Existing Installed Capacity,Retirement Capacity,Fuel input coef,Fuel input coef,Fuel input coef,Efficiency,Utilisation Factor,Utilisation Factor,"Generation, stat","Generation, stat",,Interpolation/extrapolation for future years,Fixed O&M Cost,Variable O&M Cost,Lifetime,Capacity to Activity Factor,% contribution to PEAK,,,,
*Units,,,,GW,GW,GW,GW,GW,GW,,GW,%,%,%,%,%,%,PJ,PJ,,´-1 no extrapolation,Milion NZD (2015)/GW,Milion NZD (2015)/PJ,Years,PJ/GW,,,,,
ELCREHYDRRInflex00,,ELCHYD,ELC,0.20640000000000000000,,,,,0.20640000000000000000,0.00000000000000000000,,,,,1.00000000000000000000,,,2.41765619798025000000,3.38284695214823000000,,1.00000000000000000000,6.54000000000000000000,0.24444444444444400000,100.00000000000000000000,31.53600000000000000000,0.72200000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,
ELCREHYDDAM00,,ELCHYD,ELC,1.54690000000000000000,,,,,1.54690000000000000000,0.00000000000000000000,,,,,1.00000000000000000000,,,20.08076795028300000000,23.72645894665380000000,,1.00000000000000000000,6.54000000000000000000,0.24444444444444400000,100.00000000000000000000,31.53600000000000000000,0.98000000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,
ELCREHYDRRFlex00,,ELCHYD,ELC,0.20640000000000000000,,,,,0.20640000000000000000,0.00000000000000000000,,,,,1.00000000000000000000,,,0.80157585173676600000,1.70219227875917000000,,1.00000000000000000000,6.54000000000000000000,0.24444444444444400000,100.00000000000000000000,31.53600000000000000000,0.83000000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,
ELCTENGACHP00,,ELCNGA,ELC,0.06400000000000000000,0.29060000000000000000,,,,0.35460000000000000000,0.00000000000000000000,,0.76050763119673800000,0.74660574225524100000,5.00000000000000000000,0.30056867017465200000,0.66551280560557500000,0.66551280560557500000,6.09900000000000000000,,5.04440000000000000000,,36.00000000000000000000,1.11111111111111000000,25.00000000000000000000,31.53600000000000000000,0.66000000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,
,,ELCWOD,,,,,,,,,,0.23949236880326200000,0.25339425774475900000,5.00000000000000000000,,,,,,,,,,,,,,,,
\I:,,ELCGEO,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,,,,,,,,,,,,,,,,
\I:,,ELCBIG,,,,,,,,,,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,,,,,,,,,,,,,,,,
ELCTECOA00,,ELCCOA,ELC,,0.50000000000000000000,,,,0.50000000000000000000,0.00000000000000000000,,,,,0.33168365988269700000,0.42808219178082200000,0.37100456621004600000,6.75000000000000000000,,,1.00000000000000000000,72.00000000000000000000,2.77777777777778000000,30.00000000000000000000,31.53600000000000000000,0.97000000000000000000,0.00000000000000000000,0.00000000000000000000,5.00000000000000000000,
