TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,EFF~0,AFA~NI,AFA~SI,AF,Life,CAP2ACT,INVCOST~2018,INVCOST~2021,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,FIXOM~2030,FIXOM~2040,FIXOM~0,FLO_MARK,FLO_MARK~2040
ADCF-MoTP-Stat-VacP-ELC,Dairy Cattle Farming-Vacuum Pump,AGRELC,ADCF-MoTP-Stat,2020,0.84,,,,0.23,0.23,,25,31.536,410.6135299,,,,,,21.59599486,,,,,
ADCF-MoTP-Stat-VPVSD-ELC,Dairy Cattle Farming-Vacuum pump with VSD,AGRELC,ADCF-MoTP-Stat,2020,0.95,,,,0.23,0.23,,25,31.536,643.4135299,,,,,,21.59599486,,,,,
ADCF-IRG-Irg-ELC,Dairy Cattle Farming-Irrigation,AGRELC,ADCF-IRG,2020,0.7,,,,0.16,0.16,,20,31.536,6000,,,,,,917.1932263,,,,,
ADCF-IRG-IrgVSD-ELC,Dairy Cattle Farming-Irrigation with VSD,AGRELC,ADCF-IRG,2020,0.83,,,,0.16,0.16,,20,31.536,6257.142857,,,,,,917.1932263,,,,,
ADCF-WH-Cylinder-ELC,Dairy Cattle Farming-Hot Water Cylinder,AGRELC,ADCF-WH,2020,0.9,,,,0.23,0.23,,20,31.536,466.6652174,,,,,,24.54400282,,,,,
ADCF-WH-Hreco-ELC,Dairy Cattle Farming-Heat Recovery & Heat Pump,AGRELC,ADCF-WH,2020,3.5,,,,0.23,0.23,,20,31.536,435.7348447,,,,,,22.91723672,,,,,
\I: ADCF-WH-HP-ELC,\I: Dairy Cattle Farming-Hot Water Heat Pump,AGRELC,ADCF-WH,2020,,,,,,,,,,,,,,,,,,,,,
ADCF-MoTP-Mob-Trac--DSL,Dairy Cattle Farming-Tractor,AGRDSL,ADCF-MoTP-Mob-Trac,2020,0.11,,,,0.09,0.09,,15,1,965.2940818,,,,,,38.61176327,,,,,
ADCF-MoTP-Mob-Trac--ELC,Dairy Cattle Farming-Electric Tractor,AGRELC,ADCF-MoTP-Mob-Trac,2020,0.39,,,,0.09,0.09,,15,1,,3076.969325,1595.220724,1071.7594,1071.7594,,57.07127505,28.53563753,,,,
ADCF-MoTP-Mob-Trac--H2R,Dairy Cattle Farming-Hydrogen Tractor,AGRH2R,ADCF-MoTP-Mob-Trac,2020,0.24,,,,0.09,0.09,,15,1,,2307.258242,2140.786796,819.5421765,675.3559438,,34.75058694,,,,,
ADCF-MoTP-Mob-MTr--DSL,Dairy Cattle Farming-Medium Truck,AGRDSL,ADCF-MoTP-Mob-MTr,2020,0.13,,,,0.02,0.02,,22,1,1851.866667,1898.163333,1962.978667,2042.5,2096.966667,,70.39614189,,,,,
ADCF-MoTP-Mob-MTr--ELC,Dairy Cattle Farming-Electric Medium Truck,AGRELC,ADCF-MoTP-Mob-MTr,2020,0.44,,,,0.02,0.02,,22,1,6565.010112,3455.244864,2084.875383,2084.875383,2084.875383,,65.43796571,,48.32429195,,,
ADCF-MoTP-Mob-MTr--H2R,Dairy Cattle Farming-Hydrogen Medium Truck,AGRH2R,ADCF-MoTP-Mob-MTr,2020,0.27,,,,0.02,0.02,,22,1,7542.145292,4158.214836,3104.0294,2612.626886,2501.400538,,71.34326999,,,,,
ADCF-MoTP-Mob-Uti--DSL,Dairy Cattle Farming-Utility,AGRDSL,ADCF-MoTP-Mob-Uti,2020,0.23,,,,0.09,0.09,,22,1,363.43,368.42,375.08,383.4,394.6,,11.87981166,,,,,
ADCF-MoTP-Mob-Uti--ELC,Dairy Cattle Farming-Electric Utility,AGRELC,ADCF-MoTP-Mob-Uti,2020,0.8,,,,0.09,0.09,,22,1,563.28,549.56,413.47,413.47,413.47,,10.52998122,,9.014980902,,,
ADCF-MoTP-Mob-Uti--H2R,Dairy Cattle Farming-Hydrogen Utility,AGRH2R,ADCF-MoTP-Mob-Uti,2020,0.5,,,,0.09,0.09,,22,1,748.66,644.3,431.38,431.38,408.55,,13.06071596,,,,,
ADCF-MoTP-Mob-Bike--PET,Dairy Cattle Farming-Motorbike/side by side,AGRPET,ADCF-MoTP-Mob-Bike,2020,0.1,,,,0.25,0.25,,10,1,264,264,264,264,264,,500,,,,,
ADCF-MoTP-Mob-Bike--ELC,Dairy Cattle Farming-Electric Motorbike,AGRELC,ADCF-MoTP-Mob-Bike,2020,0.35,,,,0.25,0.25,,10,1,483,379,287,189,189,,250,,,,,
ADCF-PUMP--ELC,Dairy Cattle Farming-Transfer Pumps etc,AGRELC,ADCF-PUMP,2020,0.7,,,,0.23,0.23,,25,31.536,886.90625,,,,,,46.64635093,,,,,
ADCF-RFGR--ELC,Dairy Cattle Farming-Refrigeration,AGRELC,ADCF-RFGR,2020,2.951594,,,,0.23,0.23,,15,31.536,545.7819236,,,,,,28.70510287,,,,,
ADCF-RFGR-HRECSys-ELC,Dairy Cattle Farming-Heat Recovery System,AGRELC,ADCF-RFGR,2020,3.5,,,,0.23,0.23,,15,31.536,684.4485902,,,,,,35.99820064,,,,,
ADCF-LIG--ELC,Dairy Cattle Farming-LED,AGRELC,ADCF-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
ALIVE-IRG-Irg-ELC,Livestock Farming-Irrigation,AGRELC,ALIVE-IRG,2020,0.7,,,,0.16,0.16,,20,31.536,6000,,,,,,917.1932263,,,,,
ALIVE-IRG-IrgVSD-ELC,Livestock Farming-Irrigation with VSD,AGRELC,ALIVE-IRG,2020,0.83125,,,,0.16,0.16,,20,31.536,6257.142857,,,,,,917.1932263,,,,,
ALIVE-MoTP-Mob-Trac--DSL,Livestock Farming-Tractor,AGRDSL,ALIVE-MoTP-Mob-Trac,2020,0.111111,,,,0.09,0.09,,15,1,965.2940818,,,,,,38.61176327,,,,,
ALIVE-MoTP-Mob-Trac--ELC,Livestock Farming-Electric Tractor,AGRELC,ALIVE-MoTP-Mob-Trac,2020,0.386473,,,,0.09,0.09,,15,1,,3076.969325,1595.220724,1071.7594,1071.7594,,57.07127505,28.53563753,,,,
ALIVE-MoTP-Mob-Trac--H2R,Livestock Farming-Hydrogen Tractor,AGRH2R,ALIVE-MoTP-Mob-Trac,2020,0.241546,,,,0.09,0.09,,15,1,,2307.258242,2140.786796,819.5421765,675.3559438,,34.75058694,,,,,
ALIVE-MoTP-Mob-MTr--DSL,Livestock Farming-Medium Truck,AGRDSL,ALIVE-MoTP-Mob-MTr,2020,0.125163,,,,0.02,0.02,,22,1,1851.866667,1898.163333,1962.978667,2042.5,2096.966667,,70.39614189,,,,,
ALIVE-MoTP-Mob-MTr--ELC,Livestock Farming-Electric Medium Truck,AGRELC,ALIVE-MoTP-Mob-MTr,2020,0.43535,,,,0.02,0.02,,22,1,6565.010112,3455.244864,2084.875383,2084.875383,2084.875383,,65.43796571,,48.32429195,,,
ALIVE-MoTP-Mob-MTr--H2R,Livestock Farming-Hydrogen Medium Truck,AGRH2R,ALIVE-MoTP-Mob-MTr,2020,0.272093,,,,0.02,0.02,,22,1,7542.145292,4158.214836,3104.0294,2612.626886,2501.400538,,71.34326999,,,,,
ALIVE-MoTP-Mob-Uti--DSL,Livestock Farming-Utility,AGRDSL,ALIVE-MoTP-Mob-Uti,2020,0.23,,,,0.09,0.09,,22,1,363.4257824,368.4187606,375.0760648,383.3976951,394.6036532,,11.87981166,,,,,
ALIVE-MoTP-Mob-Uti--ELC,Livestock Farming-Electric Utility,AGRELC,ALIVE-MoTP-Mob-Uti,2020,0.8,,,,0.09,0.09,,22,1,563.2761111,549.5555139,413.4744442,413.4744442,413.4744442,,10.52998122,,9.014980902,,,
ALIVE-MoTP-Mob-Uti--H2R,Livestock Farming-Hydrogen Utility,AGRH2R,ALIVE-MoTP-Mob-Uti,2020,0.5,,,,0.09,0.09,,22,1,748.6600075,644.2986944,431.3847446,431.3847446,408.5523564,,13.06071596,,,,,
ALIVE-MoTP-Mob-Bike--PET,Livestock Farming-Motorbike/side by side,AGRPET,ALIVE-MoTP-Mob-Bike,2020,0.1,,,,0.25,0.25,,10,1,264.0430374,264.0430374,264.0430374,264.0430374,264.0430374,,34.75045697,,,,,
ALIVE-MoTP-Mob-Bike--ELC,Livestock Farming-Electric Motorbike/side by side,AGRELC,ALIVE-MoTP-Mob-Bike,2020,0.347826,,,,0.25,0.25,,12,1,483.4846187,378.6447961,287.0371841,189.3223981,189.3223981,,17.37522848,,,,,
ALIVE-LIG--ELC,Livestock Farming-LED,AGRELC,ALIVE-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
AHORT-IRG-Irg-ELC,Horticulture (Outdoor)-Irrigation,AGRELC,AHORT-IRG,2020,0.7,,,,0.16,0.16,,20,31.536,6000,,,,,,917.1932263,,,,,
AHORT-IRG-IrgVSD-ELC,Horticulture (Outdoor)-Irrigation with VSD,AGRELC,AHORT-IRG,2020,0.83125,,,,0.16,0.16,,20,31.536,6257.142857,,,,,,917.1932263,,,,,
AHORT-MoTP-Mob-Trac--DSL,Horticulture (Outdoor)-Tractor,AGRDSL,AHORT-MoTP-Mob-Trac,2020,0.111111,,,,0.061644,0.06,,12,1,1560.071243,1560.071243,,,,,62.40284973,,,,,
AHORT-MoTP-Mob-Trac--ELC,Horticulture (Outdoor)-Electric Tractor,AGRELC,AHORT-MoTP-Mob-Trac,2020,0.386473,,,,0.061644,0.06,,12,1,,10961.1096,5626.288656,3923.314973,3923.314973,,138.3546062,69.1773031,,,,
AHORT-MoTP-Mob-Trac--H2R,Horticulture (Outdoor)-Hydrogen Tractor,AGRH2R,AHORT-MoTP-Mob-Trac,2020,0.241546,,,,0.061644,0.06,,12,1,,10802.64415,10005.47449,3678.526819,2988.072731,,56.16256476,,,,,
AHORT-MoTP-Mob-MTr--DSL,Horticulture (Outdoor)-Medium Truck,AGRDSL,AHORT-MoTP-Mob-MTr,2020,0.125163,,,,0.02,0.02,,22,1,1851.866667,1898.163333,1962.978667,2042.5,2096.966667,,70.39614189,,,,,
AHORT-MoTP-Mob-MTr--ELC,Horticulture (Outdoor)-Electric Medium Truck,AGRELC,AHORT-MoTP-Mob-MTr,2020,0.43535,,,,0.02,0.02,,22,1,6565.010112,3455.244864,2084.875383,2084.875383,2084.875383,,65.43796571,,48.32429195,,,
AHORT-MoTP-Mob-MTr--H2R,Horticulture (Outdoor)-Hydrogen Medium Truck,AGRH2R,AHORT-MoTP-Mob-MTr,2020,0.272093,,,,0.02,0.02,,22,1,7542.145292,4158.214836,3104.0294,2612.626886,2501.400538,,71.34326999,,,,,
AHORT-MoTP-Mob-Uti--DSL,Horticulture (Outdoor)-Utility,AGRDSL,AHORT-MoTP-Mob-Uti,2020,0.23,,,,0.09,0.09,,22,1,363.4257824,368.4187606,375.0760648,383.3976951,394.6036532,,11.87981166,,,,,
AHORT-MoTP-Mob-Uti--ELC,Horticulture (Outdoor)-Electric Utility,AGRELC,AHORT-MoTP-Mob-Uti,2020,0.8,,,,0.09,0.09,,22,1,563.2761111,549.5555139,413.4744442,413.4744442,413.4744442,,10.52998122,,9.014980902,,,
AHORT-MoTP-Mob-Uti--H2R,Horticulture (Outdoor)-Hydrogen Utility,AGRH2R,AHORT-MoTP-Mob-Uti,2020,0.5,,,,0.09,0.09,,22,1,748.6600075,644.2986944,431.3847446,431.3847446,408.5523564,,13.06071596,,,,,
AHORT-MoTP-Stat-Motor-ELC,Horticulture (Outdoor)-Frost Protection windmills,AGRELC,AHORT-MoTP-Stat,2020,0.9,,,,0.07416,0.17,,20,31.536,2400,,,,,,,,,,,
AHORT-LIG--ELC,Horticulture (Outdoor)-LED,AGRELC,AHORT-LIG,2020,0.45,,,,0.23,0.23,,17.12329,31.536,1076.086957,,,,,,,,,,,
AINDC-SH-Boiler-WOD,Indoor Cropping-Boiler,AGRWOD,AINDC-SH,2020,0.85,,,,0.27,0.27,,25,31.536,705.8823529,,,,,,11.25,,,,,
AINDC-SH-Boiler-NGA,Indoor Cropping-Boiler,AGRNGA,AINDC-SH,2020,0.87,,,,0.27,0.27,,25,31.536,114.9425287,,,,,,4.41,,,,,
AINDC-SH-Boiler-ELC,Indoor Cropping-Boiler,AGRELC,AINDC-SH,2020,0.99,,,,0.27,0.27,,25,31.536,370.5,250,250,250,250,,,,,,,
