TechName,*TechDesc,Comm-IN,Comm-OUT,START,EFF,EFF~2030,EFF~2050,CEFF,CEFF~2030,CEFF~2050,AFA,AFA~2050,Life,INVCOST,INVCOST~2030,INVCOST~2040,INVCOST~2050,INVCOST~0,FIXOM,CAP2ACT,Share
\I:Technology Name,Technology Description,Fuel,Demand,Starting Year,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Efficiency,Annual Availability Factor,,Lifetime of Process,Investment Cost,Investment Cost,Investment Cost,Investment Cost,,Fixed O&M Cost,,Fuel input share
T_P_CICEPET,ICE,TRAPET,T_P_CAR,2020,0.295742265894038,0.331520255464477,0.394728884942742,,,,0.136409892060962,0.17231484714245,18.893708933,33.8572530637795,35.211088115725,36.2918808042529,36.5194161071009,5,1.38367610709503,0.08,
T_P_CICEDSL,ICE,TRADSL,T_P_CAR,2020,0.27102281432564,0.297449773379546,0.35497793512336,,,,0.136409892060962,0.17231484714245,19.957648846,40.9821610282072,42.5384456242151,43.8353494542216,44.2244206032236,5,1.34308666666667,0.08,
T_P_CHYBPET,HYB,TRAPET,T_P_CAR,2020,0.409739656052812,0.476403558778247,0.595014023004575,,,,0.136409892060962,0.17231484714245,18.893708933,38.4943273070229,37.3348596170523,37.3348596170523,37.3348596170523,5,1.13302870436116,0.08,
T_P_CHYBDSL,HYB,TRADSL,T_P_CAR,2020,0.375491796509197,0.427443356054553,0.535093471272683,,,,0.136409892060962,0.17231484714245,18.893708933,46.5950594809661,45.6385626587761,45.7752050619461,45.9118474651161,5,1.09979187902069,0.08,
T_P_CBEVELC,BEV,TRAELC,T_P_CAR,2020,1.40799261532579,1.42443651705038,1.5685013916117,,,,0.136409892060962,0.17231484714245,18.893708933,54.2843380313582,34.9977333371165,34.9977333371165,34.9977333371165,5,1.23916524955665,0.08,
T_P_CFCH2R,FC,TRAH2R,T_P_CAR,2020,0.735294117647059,,,,,,0.136409892060962,0.17231484714245,18.893708933,74.5,48.5632952062479,44.3243331701033,41.6203018146816,5,1.26178058877254,0.08,
T_P_CPHEVPET,PHEV,,T_P_CAR,2020,,,,,,,0.136409892060962,0.17231484714245,18.893708933,54.0200990243748,39.2801241254416,39.2801241254416,39.2801241254416,5,1.21513296486487,0.08,
,,TRAPET,,,,,,0.296,0.332,0.395,,,,,,,,,,,0
,,TRAELC,,,,,,1.408,1.424,1.569,,,,,,,,,,,0
T_P_CPHEVDSL,PHEV,,T_P_CAR,2020,,,,,,,0.136409892060962,0.17231484714245,18.893708933,65.3880689259169,47.454239946544,47.4447157184027,47.5675932379595,5,1.17948765247058,0.08,
,,TRADSL,,,,,,0.27102281432564,0.297449773379546,0.35497793512336,,,,,,,,,,,0
,,TRAELC,,,,,,1.40799261532579,1.42443651705038,1.5685013916117,,,,,,,,,,,0
T_C_CICEPET,ICE,TRAPET,T_C_Car,2020,0.224465495704546,0.259970664289801,0.325022866980042,,,,0.182991339095994,0.213778816414084,22.051404093,33.8966666666667,35.2520777329749,36.3341285842294,36.5619287634409,5,1.34308666666667,0.08,
T_C_CICEDSL,ICE,TRADSL,T_C_Car,2020,0.242329128781387,0.260164732357795,0.30361984702605,,,,0.182991339095994,0.213778816414084,15.784552846,50.4003390834807,53.296910295175,54.8417482747453,56.3865862543155,5,1.53961127372657,0.08,
T_C_CHYBPET,HYB,TRAPET,T_C_Car,2020,0.320800575407661,0.376900238932702,0.430897926186138,,,,0.182991339095994,0.213778816414084,22.051404093,38.5391389793411,37.6827136686891,38.2536638757904,38.5391389793411,5,1.09979187902069,0.08,
T_C_CHYBDSL,HYB,TRADSL,T_C_Car,2020,0.346330841215038,0.37718159491337,0.402522947533137,,,,0.182991339095994,0.213778816414084,22.051404093,57.3031469921579,56.9717400855566,57.7390427845129,59.4358820150264,5,1.26071683809919,0.08,
T_C_CBEVELC,BEV,TRAELC,T_C_Car,2020,1.32866359320443,1.15470449513806,1.25330564800651,,,,0.182991339095994,0.213778816414084,22.051404093,63,42.288,42.288,42.288,5,1.36467464926093,0.08,
T_C_CFCH2R,FC,TRAH2R,T_C_Car,2020,0.735294117647059,,,,,,0.182991339095994,0.213778816414084,22.051404093,97.2839673289709,65.1971954460414,59.8427170845956,56.4270985303787,5,1.69265524733082,0.08,
T_C_CPHEVPET,PHEV,,T_C_Car,2020,,,,,,,0.182991339095994,0.213778816414084,22.051404093,77.3755,56.5152126007304,56.5152126007304,56.5152126007304,5,1.28065103502984,0.08,
,,TRAPET,,,,,,0.224465495704546,0.259970664289801,0.325022866980042,,,,,,,,,,,0
,,TRAELC,,,,,,1.32866359320443,1.15470449513806,1.25330564800651,,,,,,,,,,,0
T_C_CPHEVDSL,PHEV,,T_C_Car,2020,,,,,,,0.182991339095994,0.213778816414084,22.051404093,115.048228048595,85.444218043249,85.3025291622995,85.3025291622995,5,1.24308378310627,0.08,
,,TRADSL,,,,,,0.242329128781387,0.260164732357795,0.30361984702605,,,,,,,,,,,0
,,TRAELC,,,,,,1.32866359320443,1.15470449513806,1.25330564800651,,,,,,,,,,,0
T_P_McyICEPET,ICE,TRAPET,T_P_Mcy,2020,0.586029893127309,0.615685580691978,0.719166782327331,,,,0.0300078900490873,0.029983436126264,12.14726436,10,10.2307692307692,10.5384615384615,10.7692307692308,5,0.5,0.08,
T_P_McyBEVELC,BEV,TRAELC,T_P_Mcy,2020,5.78742352938327,4.94037064232754,4.72873395925162,,,,0.0300078900490873,0.029983436126264,12.14726436,12.8620998869352,11.1739492767749,11.1739492767749,11.0935611524816,5,0.25,0.08,
T_F_MTrICEDSL,ICE,TRADSL,T_F_MTrk,2020,0.131872336742822,0.137226730534849,0.144488417272193,,,,0.12,0.12,21.981385163,122,122,122,122,5,3.8,0.08,
T_F_MTrBEVELC,BEV,TRAELC,T_F_MTrk,2020,0.196078431372549,,,,,,0.12,0.12,21.981385163,188,123,112,112,5,3.5,0.08,
T_F_MTrFCH2R,FC,TRAH2R,T_F_MTrk,2020,0.128205128205128,,,,,,0.12,0.12,21.981385163,523,232,195,195,5,3.9,0.08,
T_F_HTrICEDSL,ICE,TRADSL,T_F_HTrk,2020,0.0565,0.0565,0.0565,,,,0.2,0.22,22,250,250,250,250,5,16.4,0.08,
T_F_HTrBEVELC,BEV,TRAELC,T_F_HTrk,2023,0.178388,,,,,,0.2,0.22,22,470,301,275,275,5,15.1,0.08,
T_F_HTrFCH2R,FC,TRAH2R,T_F_HTrk,2023,0.095545,,,,,,0.2,0.22,22,727,344,292,292,5,14.9,0.08,
T_F_VHTICEDSL,ICE,TRADSL,T_F_VHTrk,2020,0.05,,,,,,1.457,1.55,21.981385163,350,350,350,350,5,25,0.08,
T_F_VHTBEVELC,BEV,TRAELC,T_F_VHTrk,2023,0.163288,,,,,,1.22,1.44,21.981385163,875,501,430,430,5,17,0.08,
T_F_VHTFCH2R,FC,TRAH2R,T_F_VHTrk,2023,0.092196,,,,,,1.457,1.55,21.981385163,817,384,323,323,5,19,0.08,
